State,Undergrads,Population,UGradPerThou
New Jersey,326358,8640218,37.77196362
Nevada,100760,2484196,40.56040667
Alaska,27463,676301,40.60765842
Georgia,378947,9318715,40.66515609
Connecticut,142926,3487896,40.97771264
Tennessee,250974,6068306,41.35816487
Florida,775171,18019093,43.0194239
South Carolina,187254,4324799,43.29773476
Maine,58512,1313355,44.55154928
Hawaii,57527,1275264,45.10987529
New Hampshire,59405,1308824,45.38807357
Montana,42990,945428,45.47146901
Maryland,255933,5602258,45.68390103
Louisiana,194567,4243634,45.84914722
Oregon,170742,3680968,46.38508132
Mississippi,134699,2896713,46.5006371
Ohio,533652,11458390,46.57303513
Arkansas,132112,2804199,47.11220566
Pennsylvania,585006,12388055,47.22339383
Texas,1104529,23367534,47.26767489
New York,928563,19367028,47.94555985
Alabama,220520,4587564,48.06908416
West Virginia,87292,1806760,48.31410923
Idaho,70754,1461183,48.42240842
North Carolina,436662,8845343,49.36631626
Washington,314862,6360529,49.50248635
Delaware,42488,850366,49.96436828
Indiana,317963,6294124,50.51743499
Virginia,387593,7628347,50.80956595
Oklahoma,182340,3568132,51.10236953
Massachusetts,335511,6443424,52.07029679
Kentucky,219194,4199440,52.19600709
Missouri,306201,5832977,52.49480668
Colorado,255412,4751474,53.75426657
Illinois,688043,12759673,53.92324709
Wisconsin,300932,5568505,54.04179398
Michigan,545001,10083878,54.04676653
South Dakota,42985,787380,54.59244583
Minnesota,289018,5143134,56.19491928
Vermont,34923,620196,56.30961825
New Mexico,115875,1937916,59.79361335
Nebraska,105611,1759779,60.01378582
California,2172354,36121296,60.14053316
Wyoming,30928,512573,60.33872248
Kansas,168244,2756267,61.04053054
Rhode Island,71175,1058991,67.21020292
North Dakota,44042,636453,69.19913961
Utah,183518,2585155,70.98916699
Iowa,212715,2967270,71.68710633
Arizona,476547,6178251,77.13299443
