CountryName,CountryCode,Time,Group
Guinea,GIN,16,1
Armenia,ARM,4,1
Hungary,HUN,5,1
Mauritius,MUS,6,1
United States,USA,5,1
Lithuania,LTU,7,1
Jordan,JOR,12,1
Dominican Republic,DOM,19,1
St. Vincent and the Grenadines,VCT,10,1
Rwanda,RWA,2,1
Austria,AUT,25,1
Mauritania,MRT,19,1
Trinidad and Tobago,TTO,38,1
Albania,ALB,5,1
Costa Rica,CRI,24,1
Cyprus,CYP,8,1
Jamaica,JAM,6,1
Afghanistan,AFG,5,1
Papua New Guinea,PNG,53,1
Uganda,UGA,32,1
Syrian Arab Republic,SYR,13,1
Bolivia,BOL,49,1
Mali,MLI,11,1
El Salvador,SLV,17,1
