CountryName,CountryCode,Time
Guinea,GIN,16
Armenia,ARM,4
Hungary,HUN,5
Mauritius,MUS,6
United States,USA,5
Lithuania,LTU,7
Jordan,JOR,12
Dominican Republic,DOM,19
St. Vincent and the Grenadines,VCT,10
Rwanda,RWA,2
Austria,AUT,25
Mauritania,MRT,19
Trinidad and Tobago,TTO,38
Albania,ALB,5
Costa Rica,CRI,24
Cyprus,CYP,8
Jamaica,JAM,6
Afghanistan,AFG,5
Papua New Guinea,PNG,53
Uganda,UGA,32
Syrian Arab Republic,SYR,13
Bolivia,BOL,49
Mali,MLI,11
El Salvador,SLV,17
Suriname,SUR,208
