ID,Reflectance
1,57.62747
2,54.83248
3,63.44216
4,57.01707
5,54.71893
6,42.28909
7,63.57179
8,55.51963
9,33.51703
10,63.30091
11,58.29479
12,42.05202
13,56.13528
14,47.77986
15,56.13078
16,55.91323
17,38.76455
18,49.69957
19,42.30469
20,45.58126
21,69.00163
22,50.35694
23,53.01546
24,38.31248
25,60.41296
26,49.32215
27,42.81745
28,44.48883
29,46.40153
30,44.28922
31,58.89363
32,42.09231
33,47.62289
34,47.94141
35,69.22990
36,46.61047
37,68.05260
38,42.76180
39,45.60811
40,47.34812
41,59.59921
42,37.75868
43,53.90582
44,43.17079
45,51.35674
46,64.53374
47,43.84911
48,42.68202
49,50.88709
50,43.78793
