ID,GenderMale1,WordsPerDay,
1,1,21143,
2,1,17791,
3,1,36571,
4,1,6724,
5,1,15430,
6,1,11552,
7,1,11748,
8,1,12169,
9,1,15581,
10,1,23858,
11,1,5269,
12,1,12384,
13,1,11576,
14,1,17707,
15,1,15229,
16,1,18160,
17,1,22482,
18,1,18626,
19,1,1118,
20,1,5319,
21,2,6705,
22,2,21613,
23,2,11935,
24,2,15790,
25,2,17865,
26,2,13035,
27,2,24834,
28,2,7747,
29,2,3852,
30,2,11648,
31,2,25862,
32,2,17183,
33,2,11010,
34,2,11156,
35,2,11351,
36,2,25693,
37,2,13383,
38,2,19992,
39,2,14926,
40,2,14128,
41,2,10345,
42,2,13516,
43,2,12831,
44,2,9671,
45,2,17011,
46,2,28575,
47,2,23557,
48,2,13656,
49,2,8231,
50,2,10601,
51,2,8124,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
