ModelYear,Manufacturer,Model,VehicleClass,EngineSize,Cylinders,Transmission,FUEL,FuelConsCity,FuelConsHwy,FuelConsComb,CO2
2015,BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A6,X,14.2,9.9,12.3,283
2015,BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,A6,X,14.6,10.2,12.6,290
2015,BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,X,9.5,7.2,8.5,196
2015,BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,X,10.2,8,9.2,212
2015,BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,X,13.7,8.6,11.4,262
2015,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,X,13.9,9.1,11.7,269
2015,BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,189
2015,BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,189
2015,BUICK,VERANO,COMPACT,2.4,4,AS6,X,11.1,7.4,9.4,216
2015,CADILLAC,ATS,COMPACT,2.5,4,AS6,X,11.1,7.2,9.3,214
2015,CADILLAC,ATS,COMPACT,3.6,6,AS6,X,12.8,8.4,10.8,248
2015,CADILLAC,ATS AWD,COMPACT,3.6,6,AS6,X,12.8,8.9,11,253
2015,CADILLAC,CTS,MID-SIZE,3.6,6,AS8,X,12.8,8.2,10.7,246
2015,CADILLAC,CTS AWD,MID-SIZE,3.6,6,AS6,X,12.8,8.9,11,253
2015,CADILLAC,SRX,SUV - STANDARD,3.6,6,AS6,X,14.2,9.8,12.3,283
2015,CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,AS6,X,14.8,10.4,12.8,294
2015,CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,X,13.6,8.6,11.3,260
2015,CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,X,13.7,8.9,11.6,267
2015,CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,X,13.3,8.8,11.3,260
2015,CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,14,8.4,11.5,265
2015,CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,AS6,X,12.6,7.9,10.5,242
2015,CHEVROLET,CITY EXPRESS,SPECIAL PURPOSE VEHICLE,2,4,AV,X,9.7,9,9.4,216
2015,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4,A6,X,11.9,8.8,10.5,242
2015,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4,M6,X,12.2,9.1,10.8,248
2015,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,3.6,6,A6,X,13,9.2,11.3,260
2015,CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,2.5,4,A6,X,12.7,9.5,11.3,260
2015,CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,3.6,6,A6,X,13.5,9.8,11.8,271
2015,CHEVROLET,CRUZE,MID-SIZE,1.4,4,AS6,X,9.1,6.3,7.8,179
2015,CHEVROLET,CRUZE,MID-SIZE,1.4,4,M6,X,9,6.2,7.8,179
2015,CHEVROLET,CRUZE,MID-SIZE,1.8,4,AS6,X,10.5,6.8,8.8,202
2015,CHEVROLET,CRUZE,MID-SIZE,1.8,4,M6,X,9.4,6.6,8.1,186
2015,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,A6,X,9,6.1,7.7,177
2015,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,M6,X,8.4,5.6,7.1,163
2015,CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,A6,X,10.5,7.3,9.1,209
2015,CHEVROLET,EQUINOX FFV,SUV - SMALL,2.4,4,A6,X,10.5,7.3,9.1,209
2015,CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,X,14.2,9.5,12.1,278
