Show Date,Venue,PauseLength
1987-08-09,"Nectar's, Burlington, VT",0
1987-08-10,"Nectar's, Burlington, VT",0
1987-08-21,"Ian McLean's Farm, Hebron, NY",0
1987-08-29,"The Ranch, South Burlington, VT",0
1987-09-02,"Hunt's, Burlington, VT",0
1987-09-21,"Nectar's, Burlington, VT",0
1987-10-14,"Hunt's, Burlington, VT",0
1987-10-31,"Sculpture Room, Goddard College, Plainfield, VT",0
1987-11-18,"Hunt's, Burlington, VT",0
1987-11-19,"Hunt's, Burlington, VT",0
1988-01-27,"Gallagher’s, Waitsfield, VT",0
1988-02-08,"Nectar's, Burlington, VT",0
1988-02-20,"St. Lawrence University, Canton, NY",0
1988-03-21,"Nectar's, Burlington, VT",0
1988-08-13,"The Front, Burlington, VT",0
1988-09-24,"Humphries House (The Zoo), Amherst College, Amherst, MA",0
1988-10-29,"Sculpture Room, Goddard College, Plainfield, VT",0
1988-11-05,"Hamilton College, Clinton, NY",0
1988-12-02,"Molly's Cafe, Boston, MA",0
1988-12-17,"Old Stone Church, Newmarket, NH",0
1989-01-26,"The Paradise, Boston, MA",0
1989-02-06,"The Front, Burlington, VT",0
1989-02-17,"Old Stone Church, Newmarket, NH",0
1989-02-18,"Old Stone Church, Newmarket, NH",0
1989-03-03,"Living and Learning Center, University of Vermont, Burlington, VT",0
1989-03-13,"Nectar's, Burlington, VT",0
1989-03-24,"The Paradise, Boston, MA",0
1989-03-30,"The Front, Burlington, VT",0
1989-04-15,"Billings Lounge, University of Vermont, Burlington, VT",0
1989-04-20,"Humphries House (The Zoo), Amherst College, Amherst, MA",0
1989-04-27,"Memorial Union Building, University of New Hampshire, Durham, NH",3
1989-04-30,"Night Stage, Cambridge, MA",2
1989-05-06,"Collis Center, Dartmouth College, Hanover, NH",2
1989-05-09,"The Front, Burlington, VT",4
1989-05-20,"Northfield/Mt. Hermon School Gymnasium, Northfield, MA",0
1989-05-21,"320 Spear Street, Burlington, VT",2
1989-05-28,"Ian McLean's Party, Connie Condon's Farm, Hebron, NY",2
1989-06-29,"The Front, Burlington, VT",7
1989-08-19,"Collis Center, Dartmouth College, Hanover, NH",3
1989-08-26,"Townshend Family Park, Townshend, VT",1
1989-09-09,"Dining Commons, Bennington College, Bennington, VT",2
1989-09-21,"Pearl Street Ballroom, Northampton, MA",0
1989-10-14,"The Barn, Hobart College, Geneva, NY",2
1989-10-20,"The Front, Burlington, VT",2
1989-10-22,"The Front, Burlington, VT",1
1989-10-26,"The Wetlands Preserve, New York, NY",1
1989-10-31,"Goddard College, Plainfield, VT",3
1989-11-02,"Memorial Union Building, University of New Hampshire, Durham, NH",3
1989-11-10,"Sigma Phi House, Hamilton College, Clinton, NY",0
1989-11-30,"The Paradise, Boston, MA",3
1989-12-01,"The Paradise, Boston, MA",1
1989-12-03,"The Front, Burlington, VT",3
1989-12-07,"8x10 Club, Baltimore, MD",0
1989-12-15,"Ukrainian National Home, New York, NY",0
1989-12-29,"23 East Caberet, Ardmore, PA",2
1989-12-31,"Boston World Trade Center Exhibition Hall, Boston, MA",2
1990-01-26,"Tree Café, Portland, ME",1
1990-01-27,"The Front, Burlington, VT",0
1990-02-01,"The Georgia Theatre, Athens, GA",0
1990-02-15,"The Living Room, Providence, RI",0
1990-02-17,"Student Union Ballroom, University of Massachusetts, Amherst, MA",2
1990-02-24,"The Bayou, Washington, DC",1
1990-03-01,"Toad's Place, New Haven, CT",1
1990-03-03,"The Wetlands Preserve, New York, NY",2
1990-03-08,"Aiko's, Saratoga Springs, NY",3
1990-03-10,"The Front, Burlington, VT",0
1990-03-17,"23 East Caberet, Ardmore, PA",0
1990-04-04,"Quigley's, University of Colorado, Boulder, CO",0
1990-04-06,"El Dorado Café, Crested Butte, CO",1
1990-04-20,"Ramskeller, Colorado State University, Fort Collins, CO",0
1990-04-22,"Cutler Quad, Colorado College, Colorado Springs, CO",0
1990-04-29,"Woodbury Ski & Racquet Club, Woodbury, CT",2
1990-05-07,"The Haunt, Ithaca, NY",2
1990-05-10,"Pearl Street Ballroom, Northampton, MA",1
1990-05-13,"The Front, Burlington, VT",0
1990-05-15,"Hamilton College, Clinton, NY",1
1990-05-23,"The Library, Richmond, VA",3
1990-05-31,"The Georgia Theatre, Athens, GA",0
1990-06-02,"Greenstreets, Columbia, SC",0
1990-06-05,"Cat's Cradle, Chapel Hill, NC",1
1990-06-07,"The Bayou, Washington, DC",1
1990-06-08,"23 East Caberet, Ardmore, PA",2
1990-06-16,"Townshend Family Park, Townshend, VT",2
1990-09-13,"The Wetlands Preserve, New York, NY",2
1990-09-15,"The Colonial Theatre, Keene, NH",1
1990-09-20,"Somerville Theatre, Somerville, MA",2
1990-09-22,"Student Union Ballroom, University of Massachusetts, Amherst, MA",2
1990-09-28,"The Chance, Poughkeepsie, NY",3
1990-09-29,"23 East Caberet, Ardmore, PA",3
1990-10-04,"Field House, University of New Hampshire, Durham, NH",2
1990-10-07,"Club Bene, Sayreville, NJ",1
1990-10-12,"Cat's Cradle, Chapel Hill, NC",0
1990-11-02,"Glenn Miller Ballroom, University of Colorado, Boulder, CO",0
1990-11-08,"The Great Hall, University of Wisconsin, Madison, WI",2
1990-11-10,"Earlham College, Richmond, IN",0
1990-11-16,"Campus Club, Providence, RI",0
1990-11-24,"The Capitol Theatre, Port Chester, NY",1
1990-11-26,"The Haunt, Ithaca, NY",0
1990-11-30,"The Colonial Theatre, Keene, NH",0
1990-12-28,"The Marquee, New York, NY",0
1990-12-31,"Boston World Trade Center Exhibition Hall, Boston, MA",4
1991-02-15,"The Colonial Theatre, Keene, NH",4
1991-02-16,"The Marquee, New York, NY",3
1991-02-20,"Kahootz, Richmond, VA",2
1991-02-28,"Sarratt Student Center, Vanderbilt University, Nashville, TN",1
1991-03-09,"Tipitina's, New Orleans, LA",5
1991-03-13,"Boulder Theater, Boulder, CO",1
1991-03-16,"Ten Mile Room, Breckenridge, CO",0
1991-03-23,"The Inferno, Steamboat Springs, CO",2
1991-03-28,"The Catalyst, Santa Cruz, CA",1
1991-04-02,"International Beer Garden, Arcata, CA",6
1991-04-04,"WOW Hall, Eugene, OR",0
1991-04-05,"Starry Night, Portland, OR",2
1991-04-12,"Barrymore Theatre, Madison, WI",2
1991-04-19,"Nietzsche’s, Buffalo, NY",3
1991-04-21,"SUNY Potsdam, Potsdam, NY",0
1991-04-25,"Field House, University of New Hampshire, Durham, NH",0
1991-05-02,"The Chance, Poughkeepsie, NY",4
1991-05-03,"Somerville Theatre, Somerville, MA",15
1991-05-09,"Portland Performing Arts Center, Portland, ME",4
1991-05-11,"The Front, Burlington, VT",2
1991-05-16,"The Sting, New Britain, CT",6
1991-05-18,"The Marquee, New York, NY",0
1991-05-19,"Salisbury School, Salisbury, CT",0
1991-07-11,"Battery Park, Burlington, VT",0
1991-07-13,"Berkshire Performing Arts Center, Lenox, MA",0
1991-07-14,"Townshend Family Park, Townshend, VT",0
1991-07-19,"Somerville Theatre, Somerville, MA",39
1991-07-21,"Arrowhead Ranch, Parksville, NY",0
1991-07-25,"Cat's Cradle, Chapel Hill, NC",0
1991-08-03,"Larrabee Farm, a.k.a. Amy’s Farm, Auburn, ME",0
1991-09-26,"The State Theatre, Ithaca, NY",0
1991-09-29,"The Agora Ballroom, Cleveland, OH",0
1991-10-03,"Mabel's, Champaign, IL",0
1991-10-04,"Barrymore Theatre, Madison, WI",0
1991-10-06,"Cochran Lounge, Student Union, Macalester College, St. Paul, MN",1
1991-10-11,"Backstage, Seattle, WA",0
1991-10-12,"Roseland Theater, Portland, OR",0
1991-10-17,"Great American Music Hall, San Francisco, CA",0
1991-10-24,"Prescott College, Prescott, AZ",0
1991-10-28,"Elk Ballroom, Telluride, CO",0
1991-10-30,"Boulder Theater, Boulder, CO",1
1991-11-01,"Gothic Theatre, Englewood, CO",0
1991-11-08,"Ivory Tusk, Tuscaloosa, AL",0
1991-11-13,"Love Auditorium, Davidson College, Davidson, NC",0
1991-11-15,"Trax, Charlottesville, VA",1
1991-11-19,"The Sting, New Britain, CT",0
1991-11-22,"Sullivan Gymnasium, University of Southern Maine, Portland, ME",50
1991-11-24,"Webster Hall, Dartmouth College, Hanover, NH",2
1991-11-30,"The Capitol Theatre, Port Chester, NY",56
1991-12-06,"McCullough Social Hall, McCullough Student Center, Middlebury College, Middlebury, VT",0
1991-12-31,"Worcester Memorial Auditorium, Worcester, MA",2
1992-03-06,"The Music Hall, Portsmouth, NH",12
1992-03-11,"The Colonial Theatre, Keene, NH",3
1992-03-13,"Campus Club, Providence, RI",1
1992-03-17,"Lisner Auditorium, George Washington University, Washington, DC",1
1992-03-27,"13x13 Club, Charlotte, NC",1
1992-03-31,"The Blue Note, Columbia, MO",2
1992-04-05,"The Fox Theatre, Boulder, CO",2
1992-04-07,"Fine Arts Auditorium, Fort Lewis College, Durango, CO",1
1992-04-12,"Arizona Ballroom, University of Arizona Student Union, Tucson, AZ",1
1992-04-18,"Wilbur Field, Stanford University, Palo Alto, CA",0
1992-05-01,"The Rave, Milwaukee, WI",0
1992-05-09,"The Syracuse Armory, Syracuse, NY",1
1992-05-18,"The Flynn Theatre, Burlington, VT",79
1992-07-12,"Jones Beach Amphitheater, Wantagh, NY",3
1992-07-15,"Trax, Charlottesville, VA",6
1992-11-19,"Ross Arena, St. Michael's College, Colchester, VT",0
1992-11-23,"Broome County Forum, Binghamton, NY",29
1992-11-27,"The Capitol Theatre, Port Chester, NY",54
1992-12-02,"Newport Music Hall, Columbus, OH",9
1992-12-05,"The Vic Theatre, Chicago, IL",43
1992-12-08,"Barrymore Theatre, Madison, WI",46
1992-12-13,"Le Spectrum, Montréal, Québec, Canada",23
1992-12-29,"Palace Theatre, New Haven, CT",0
1992-12-31,"Matthews Arena, Northeastern University, Boston, MA",50
1993-02-03,"Portland Expo, Portland, ME",5
1993-02-06,"Roseland Ballroom, New York, NY",64
1993-02-10,"Smith Opera House, Geneva, NY",33
1993-02-15,"Memorial Hall, University of North Carolina, Chapel Hill, NC",7
1993-02-20,"Roxy Theatre, Atlanta, GA",7
1993-02-26,"Ritz Theatre, Tampa, FL",93
1993-03-09,"Pike's Peak Center, Colorado Springs, CO",0
1993-03-16,"Celebrity Theatre, Phoenix, AZ",0
1993-03-21,"Ventura Theatre, Ventura, CA",16
1993-03-26,"Warfield Theatre, San Francisco, CA",59
1993-03-30,"Hilton Ballroom, Eugene, OR",0
1993-04-02,"Mt. Baker Theatre, Bellingham, WA",0
1993-04-09,"State Theatre, Minneapolis, MN",60
1993-04-14,"American Theater, St. Louis, MO",86
1993-04-18,"Michigan Theater, Ann Arbor, MI",12
1993-04-23,"Cotterell Court, Reid Athletic Center, Colgate University, Hamilton, NY",20
1993-04-30,"Sports Center, University of Hartford, West Hartford, CT",75
1993-05-02,"Tower Theatre, Upper Darby, PA",27
1993-05-07,"Bangor Auditorium, Bangor, ME",40
1993-07-15,"Cayuga County Fairgrounds, Weedsport, NY",27
1993-07-18,"IC Light Amphitheater, Pittsburgh, PA",9
1993-07-22,"Stowe Performing Arts Center, Stowe, VT",0
1993-07-24,"Great Woods Center for the Performing Arts, Mansfield, MA",34
1993-07-29,"Tennessee Theatre, Knoxville, TN",9
1993-07-31,"Masquerade Music Park, Atlanta, GA",22
1993-08-06,"Cincinnati Zoo Peacock Pavilion, Cincinnati, OH",17
1993-08-09,"Concert Hall, Toronto, Ontario, Canada",17
1993-08-14,"World Music Theatre, Tinley Park, IL",64
1993-08-17,"Memorial Hall, Kansas City, KS",49
1993-08-20,"Red Rocks Amphitheatre, Morrison, CO",21
1993-12-29,"New Haven Veterans Memorial Coliseum, New Haven, CT",4
1994-04-04,"The Flynn Theatre, Burlington, VT",35
1994-04-11,"Snivley Arena, University of New Hampshire, Durham, NH",33
1994-04-13,"Beacon Theatre, New York, NY",39
1994-04-17,"Patriot Center, George Mason University, Fairfax, VA",3
1994-04-22,"Township Auditorium, Columbia, SC",15
1994-04-25,"Civic Auditorium, Knoxville, TN",17
1994-04-29,"Boatyard Village Pavilion, Clearwater, FL",58
1994-05-02,"Five Points South Music Hall, Birmingham, AL",9
1994-05-07,"The Bomb Factory, Dallas, TX",60
1994-05-10,"Paolo Soleri Amphitheatre, Santa Fe, NM",15
1994-05-16,"The Wiltern Theatre, Los Angeles, CA",42
1994-05-22,"Vogue Theatre, Vancouver, British Columbia, Canada",9
1994-05-26,"Warfield Theatre, San Francisco, CA",64
1994-05-29,"Laguna Seca Raceway, Monterey, CA",30
1994-06-13,"Memorial Hall, Kansas City, KS",23
1994-06-18,"UIC Pavilion, University of Illinois, Chicago, IL",54
1994-06-24,"Murat Theatre, Indianapolis, IN",29
1994-06-26,"Municipal Auditorium, Charleston, WV",19
1994-06-29,"Walnut Creek Amphitheater, Raleigh, NC",41
1994-07-02,"Garden State Arts Center, Holmdel, NJ",46
1994-07-08,"Great Woods Center for the Performing Arts, Mansfield, MA",53
1994-07-15,"Jones Beach Amphitheater, Wantagh, NY",55
1994-10-07,"Stabler Arena, Lehigh University, Bethlehem, PA",11
1994-10-10,"Palace Theatre, Louisville, KY",61
1994-10-14,"McAlister Auditorium, Tulane University, New Orleans, LA",26
1994-10-18,"Vanderbilt University Memorial Gym, Nashville, TN",32
1994-10-22,"The Edge Concert Field, Orlando, FL",19
1994-10-27,"University Hall, University of Virginia, Charlottesville, VA",130
1994-10-31,"Glens Falls Civic Center, Glens Falls, NY",67
1994-11-03,"Mullins Center, University of Massachusetts, Amherst, MA",60
1994-11-13,"Warner Theatre, Erie, PA",77
1994-11-17,"Hara Arena, Dayton, OH",77
1994-11-20,"Dane County Exposition Center, Madison, WI",69
1994-11-23,"The Fox Theatre, St. Louis, MO",92
1994-11-28,"Field House, Montana State University, Bozeman, MT",60
1994-12-03,"Event Center, San Jose, CA",64
1994-12-07,"Spreckels Theatre, San Diego, CA",48
1994-12-10,"Civic Auditorium, Santa Monica, CA",103
1994-12-31,"Boston Garden, Boston, MA",11
1995-06-09,"Red Rocks Amphitheatre, Morrison, CO",27
1995-06-17,"Nissan Pavilion at Stone Ridge, Bristow, VA",78
1995-06-22,"Finger Lakes Performing Arts Center, Canandaigua, NY",71
1995-06-25,"The Mann Center for the Performing Arts, Philadelphia, PA",82
1995-06-29,"Jones Beach Amphitheater, Wantagh, NY",121
1995-07-02,"Summer Stage at Sugarbush, North Fayston, VT",73
1995-09-29,"Greek Theatre, Los Angeles, CA",69
