Date,Course,TimeIn,TimeOut,Diff,Minutes
9/26/2013,301,10:50:00 AM,12:30:00 PM,1:40,100
1/17/2014,350,3:30:00 AM,3:40:00 AM,0:10,10
1/17/2014,350,3:30:00 AM,3:50:00 AM,0:20,20
1/17/2014,350,3:30:00 AM,3:50:00 AM,0:20,20
1/17/2014,301,11:30:00 AM,12:00:00 PM,0:30,30
1/22/2014,225,9:30:00 AM,10:15:00 AM,0:45,45
1/22/2014,305,10:40:00 AM,11:40:00 AM,1:00,60
1/23/2014,301,10:35:00 AM,10:40:00 AM,0:05,5
1/23/2014,350,1:00:00 AM,1:20:00 AM,0:20,20
1/23/2014,301,1:58:00 AM,2:19:00 AM,0:21,21
1/23/2014,350,1:15:00 AM,1:40:00 AM,0:25,25
1/23/2014,350,1:15:00 AM,1:41:00 AM,0:26,26
1/23/2014,301,3:25:00 AM,4:40:00 AM,1:15,75
1/23/2014,225,1:00:00 AM,2:18:00 AM,1:18,78
1/24/2014,225,12:32:00 PM,1:10:00 PM,0:38,38
1/24/2014,225,11:30:00 AM,12:30:00 PM,1:00,60
1/27/2014,301,2:30:00 AM,2:40:00 AM,0:10,10
1/27/2014,225,10:00:00 AM,10:30:00 AM,0:30,30
1/27/2014,225,10:30:00 AM,11:30:00 AM,1:00,60
1/27/2014,225,10:30:00 AM,11:40:00 AM,1:10,70
1/27/2014,225,10:20:00 AM,11:30:00 AM,1:10,70
1/27/2014,225,10:15:00 AM,11:30:00 AM,1:15,75
1/27/2014,225,9:53:00 AM,11:33:00 AM,1:40,100
1/27/2014,225,10:14:00 AM,12:00:00 PM,1:46,106
1/28/2014,225,1:40:00 AM,2:08:00 AM,0:28,28
1/28/2014,225,12:30:00 PM,1:00:00 PM,0:30,30
1/28/2014,311,1:15:00 AM,1:45:00 AM,0:30,30
1/28/2014,301,11:30:00 AM,12:01:00 PM,0:31,31
1/28/2014,225,9:35:00 AM,10:15:00 AM,0:40,40
1/28/2014,350,11:30:00 AM,12:30:00 PM,1:00,60
1/28/2014,301,2:50:00 AM,4:00:00 AM,1:10,70
1/28/2014,301,2:45:00 AM,4:00:00 AM,1:15,75
1/29/2014,225,9:50:00 AM,10:00:00 AM,0:10,10
1/29/2014,225,9:35:00 AM,10:06:00 AM,0:31,31
1/29/2014,225,9:35:00 AM,10:10:00 AM,0:35,35
1/29/2014,225,10:25:00 AM,11:00:00 AM,0:35,35
1/29/2014,225,9:16:00 AM,10:20:00 AM,1:04,64
1/30/2014,350,2:00:00 AM,2:08:00 AM,0:08,8
1/30/2014,311,1:05:00 AM,1:25:00 AM,0:20,20
1/30/2014,350,1:00:00 AM,1:25:00 AM,0:25,25
1/30/2014,301,1:41:00 AM,2:25:00 AM,0:44,44
1/30/2014,301,1:25:00 AM,2:30:00 AM,1:05,65
1/30/2014,225,1:30:00 AM,3:00:00 AM,1:30,90
1/30/2014,301,2:50:00 AM,4:30:00 AM,1:40,100
1/31/2014,301,12:45:00 PM,1:20:00 PM,0:35,35
2/3/2014,301,4:30:00 AM,5:00:00 AM,0:30,30
2/3/2014,301,9:30:00 AM,10:15:00 AM,0:45,45
2/3/2014,225,10:15:00 AM,11:10:00 AM,0:55,55
2/3/2014,301,3:30:00 AM,4:30:00 AM,1:00,60
2/3/2014,225,9:50:00 AM,11:30:00 AM,1:40,100
2/3/2014,301,2:30:00 AM,4:15:00 AM,1:45,105
2/4/2014,311,1:05:00 AM,1:11:00 AM,0:06,6
2/4/2014,501,4:35:00 AM,4:45:00 AM,0:10,10
2/4/2014,225,9:30:00 AM,9:50:00 AM,0:20,20
2/4/2014,225,2:00:00 AM,2:25:00 AM,0:25,25
2/4/2014,225,2:16:00 AM,2:43:00 AM,0:27,27
2/4/2014,511,3:45:00 AM,4:15:00 AM,0:30,30
2/4/2014,225,2:16:00 AM,2:55:00 AM,0:39,39
2/4/2014,225,3:30:00 AM,4:35:00 AM,1:05,65
2/4/2014,225,1:07:00 AM,2:24:00 AM,1:17,77
2/4/2014,225,1:35:00 AM,2:55:00 AM,1:20,80
2/4/2014,350,1:00:00 AM,2:25:00 AM,1:25,85
2/4/2014,301,2:30:00 AM,4:00:00 AM,1:30,90
2/4/2014,301,2:30:00 AM,4:00:00 AM,1:30,90
2/4/2014,225,8:45:00 AM,10:15:00 AM,1:30,90
2/4/2014,225,1:35:00 AM,3:20:00 AM,1:45,105
2/4/2014,225,9:20:00 AM,11:11:00 AM,1:51,111
2/4/2014,225,12:54:00 PM,3:02:00 PM,2:08,128
2/4/2014,225,1:30:00 AM,4:30:00 AM,3:00,180
2/4/2014,225,1:30:00 AM,4:30:00 AM,3:00,180
2/4/2014,225,1:00:00 AM,4:30:00 AM,3:30,210
2/6/2014,350,2:00:00 AM,2:05:00 AM,0:05,5
2/6/2014,311,1:30:00 AM,2:00:00 AM,0:30,30
2/6/2014,350,1:00:00 AM,1:30:00 AM,0:30,30
2/6/2014,301,3:31:00 AM,4:39:00 AM,1:08,68
2/6/2014,225,10:00:00 AM,11:30:00 AM,1:30,90
2/6/2014,225,1:30:00 AM,3:00:00 AM,1:30,90
2/6/2014,225,1:00:00 AM,3:00:00 AM,2:00,120
2/7/2014,301,11:30:00 AM,12:00:00 PM,0:30,30
2/7/2014,301,12:15:00 PM,12:58:00 PM,0:43,43
2/7/2014,225,11:40:00 AM,12:30:00 PM,0:50,50
2/7/2014,225,12:20:00 PM,1:20:00 PM,1:00,60
2/7/2014,301,2:35:00 AM,3:35:00 AM,1:00,60
2/7/2014,301,2:35:00 AM,3:35:00 AM,1:00,60
2/7/2014,225,11:35:00 AM,12:45:00 PM,1:10,70
2/7/2014,225,11:35:00 AM,12:45:00 PM,1:10,70
2/7/2014,225,12:00:00 PM,1:30:00 PM,1:30,90
2/10/2014,301,1:25:00 AM,1:30:00 AM,0:05,5
2/10/2014,301,12:10:00 PM,12:20:00 PM,0:10,10
2/10/2014,225,9:50:00 AM,10:10:00 AM,0:20,20
2/10/2014,225,10:25:00 AM,11:00:00 AM,0:35,35
2/10/2014,301,4:10:00 AM,5:00:00 AM,0:50,50
2/10/2014,301,1:30:00 AM,2:25:00 AM,0:55,55
2/10/2014,301,2:15:00 AM,4:25:00 AM,2:10,130
2/10/2014,225,1:10:00 AM,11:30:00 AM,10:20,620
2/11/2014,113,10:40:00 AM,10:53:00 AM,0:13,13
2/11/2014,225,2:00:00 AM,2:24:00 AM,0:24,24
2/11/2014,311,1:05:00 AM,1:30:00 AM,0:25,25
2/11/2014,225,1:40:00 AM,2:15:00 AM,0:35,35
2/11/2014,225,9:25:00 AM,10:30:00 AM,1:05,65
2/11/2014,225,10:25:00 AM,11:30:00 AM,1:05,65
2/11/2014,225,10:20:00 AM,11:30:00 AM,1:10,70
2/11/2014,225,12:50:00 PM,2:40:00 PM,1:50,110
2/11/2014,225,1:00:00 AM,3:00:00 AM,2:00,120
2/12/2014,225,10:30:00 AM,11:00:00 AM,0:30,30
2/12/2014,225,9:45:00 AM,10:20:00 AM,0:35,35
2/12/2014,225,9:38:00 AM,10:16:00 AM,0:38,38
2/12/2014,225,9:35:00 AM,10:15:00 AM,0:40,40
2/12/2014,225,10:35:00 AM,11:15:00 AM,0:40,40
2/12/2014,225,10:27:00 AM,11:30:00 AM,1:03,63
2/12/2014,225,10:53:00 AM,12:10:00 PM,1:17,77
2/12/2014,301,3:30:00 AM,4:51:00 AM,1:21,81
2/13/2014,301,10:30:00 AM,10:35:00 AM,0:05,5
2/13/2014,350,1:30:00 AM,1:45:00 AM,0:15,15
2/13/2014,350,11:00:00 AM,11:41:00 AM,0:41,41
2/13/2014,301,1:30:00 AM,2:41:00 AM,1:11,71
2/13/2014,350,1:45:00 AM,3:00:00 AM,1:15,75
2/13/2014,301,12:52:00 PM,2:30:00 PM,1:38,98
2/14/2014,301,2:20:00 AM,2:30:00 AM,0:10,10
2/14/2014,301,3:16:00 AM,3:30:00 AM,0:14,14
2/14/2014,113,4:00:00 AM,4:15:00 AM,0:15,15
2/14/2014,350,1:00:00 AM,1:30:00 AM,0:30,30
2/14/2014,301,1:25:00 AM,2:00:00 AM,0:35,35
2/14/2014,301,1:45:00 AM,2:30:00 AM,0:45,45
2/14/2014,350,11:50:00 AM,12:58:00 PM,1:08,68
2/14/2014,301,11:15:00 AM,12:25:00 PM,1:10,70
2/17/2014,225,11:20:00 AM,11:45:00 AM,0:25,25
2/17/2014,350,11:10:00 AM,12:00:00 PM,0:50,50
2/17/2014,301,3:25:00 AM,4:30:00 AM,1:05,65
2/17/2014,301,1:15:00 AM,2:30:00 AM,1:15,75
2/17/2014,301,2:25:00 AM,4:10:00 AM,1:45,105
2/18/2014,301,10:20:00 AM,10:40:00 AM,0:20,20
2/18/2014,113,10:20:00 AM,10:40:00 AM,0:20,20
2/18/2014,301,3:30:00 AM,3:57:00 AM,0:27,27
2/18/2014,301,2:45:00 AM,3:15:00 AM,0:30,30
2/18/2014,350,10:30:00 AM,11:07:00 AM,0:37,37
2/18/2014,301,3:25:00 AM,4:05:00 AM,0:40,40
2/18/2014,301,2:00:00 AM,2:50:00 AM,0:50,50
2/18/2014,225,9:25:00 AM,10:25:00 AM,1:00,60
2/18/2014,301,2:50:00 AM,4:00:00 AM,1:10,70
2/18/2014,350,1:00:00 AM,2:10:00 AM,1:10,70
2/19/2014,301,2:26:00 AM,2:40:00 AM,0:14,14
2/19/2014,301,2:30:00 AM,2:45:00 AM,0:15,15
2/19/2014,301,2:00:00 AM,2:25:00 AM,0:25,25
2/19/2014,301,3:34:00 AM,4:04:00 AM,0:30,30
2/19/2014,301,11:13:00 AM,11:46:00 AM,0:33,33
2/19/2014,301,9:26:00 AM,10:00:00 AM,0:34,34
2/19/2014,113,10:37:00 AM,11:15:00 AM,0:38,38
2/19/2014,225,9:27:00 AM,10:15:00 AM,0:48,48
