Name,Team,Base Salary,Signing Bonus,Other Bonus,Total Salary,Cap Value,Percentage,Rating,Sqrt(rating)
"   Adibi, Xavier ",Texans ,"$295,000 ","$452,500 ",$0 ,"$747,500 ","$408,125 ",0,5.44,2.3324
"   Alexander, Eric ",Patriots ,"$520,000 ",$0 ,"$5,160 ","$525,160 ","$525,160 ",0.982557697,0.06,0.2449
"   Allred, Colin ",Titans ,"$370,000 ",$0 ,"$6,720 ","$376,720 ","$376,720 ",1.78381822,0.00,0.0000
"   Alston, Jon ",Raiders ,"$445,000 ",$0 ,"$4,920 ","$449,920 ","$449,920 ",1.093527738,5.31,2.3043
"   Amato, Kenneth ",Titans ,"$627,500 ","$600,010 ","$106,480 ","$733,980 ","$928,982 ",14.50720728,0.31,0.5568
"   Anderson, Charlie ",Dolphins ,"$950,000 ","$2,500,000 ","$50,000 ","$3,500,000 ","$1,833,333 ",1.428571429,5.00,2.2361
"   Anderson, James ",Panthers ,"$445,000 ","$487,200 ","$5,880 ","$450,880 ","$613,280 ",1.304116395,0.44,0.6633
"   Ayanbadejo, Brendon ",Ravens ,"$615,000 ","$1,900,000 ","$5,160 ","$2,520,160 ","$1,095,160 ",0.204748905,3.81,1.9519
"   Ayodele, Akin ",Dolphins ,"$2,500,000 ","$5,000,000 ","$2,640 ","$2,502,640 ","$2,502,640 ",0.105488604,12.94,3.5972
"   Bailey, Boss ",Broncos ,"$605,000 ","$4,300,000 ","$200,000 ","$5,105,000 ","$1,565,000 ",3.917727718,6.62,2.5729
"   Banta-Cain, Tully ",49ers ,"$1,000,000 ",$0 ,"$1,300,000 ","$2,300,000 ","$2,266,666 ",56.52173913,2.44,1.5620
"   Barnes, Antwan ",Ravens ,"$370,000 ","$287,000 ","$2,520 ","$372,520 ","$468,186 ",0.676473746,2.56,1.6000
"   Barnett, Nick ",Packers ,"$2,000,000 ","$5,100,000 ","$900,000 ","$2,900,000 ","$4,108,571 ",31.03448276,7.06,2.6571
"   Barton, Eric ",Jets ,"$3,200,000 ",$0 ,"$50,000 ","$3,250,000 ","$4,115,000 ",1.538461538,16.00,4.0000
"   Beason, Jon ",Panthers ,"$870,000 ","$3,000,000 ","$247,900 ","$1,117,900 ","$1,717,900 ",22.17550765,21.94,4.6840
"   Beisel, Monty ",Cardinals ,"$900,000 ",$0 ,"$4,920 ","$904,920 ","$904,920 ",0.54369447,2.38,1.5427
"   Bell, Beau ",Browns ,"$295,000 ","$493,200 ","$2,420 ","$790,620 ","$418,300 ",0.306088892,0.69,0.8307
"   Bentley, Kevin ",Texans ,"$650,000 ","$600,000 ","$405,760 ","$1,655,760 ","$1,255,760 ",24.50596705,8.50,2.9155
"   Biermann, Kroy ",Falcons ,"$295,000 ","$174,750 ",$0 ,"$469,750 ","$338,687 ",0,3.19,1.7861
"   Bishop, Desmond ",Packers ,"$370,000 ","$94,200 ","$5,880 ","$375,880 ","$399,430 ",1.564329041,6.06,2.4617
"   Black, Quincy ",Buccaneers ,"$370,000 ","$825,000 ","$29,800 ","$399,800 ","$581,050 ",7.453726863,2.75,1.6583
"   Blackburn, Chase ",Giants ,"$545,000 ","$500,000 ","$104,200 ","$649,200 ","$674,200 ",16.05052372,8.94,2.9900
"   Blackstock, Darryl ",Bengals ,"$520,000 ",$0 ,"$5,520 ","$525,520 ","$525,520 ",1.050388187,2.12,1.4560
"   Blades, H.B. ",Redskins ,"$370,000 ","$106,500 ","$6,120 ","$376,120 ","$402,745 ",1.627140274,6.94,2.6344
"   Boley, Michael ",Falcons ,"$2,017,000 ",$0 ,"$3,960 ","$2,020,960 ","$2,020,960 ",0.195946481,12.19,3.4914
"   Brackett, Gary ",Colts ,"$2,055,000 ","$2,675,000 ","$1,440 ","$2,056,440 ","$2,725,190 ",0.070023925,19.38,4.4023
"   Bradley, Stewart ",Eagles ,"$370,000 ","$660,000 ","$6,600 ","$376,600 ","$541,600 ",1.75252257,17.81,4.2202
"   Briggs, Lance ",Bears ,"$805,000 ","$4,000,000 ","$4,000,000 ","$8,805,000 ","$5,471,666 ",45.42873367,25.00,5.0000
