House,SalesPrice,AssessedValue
1,83,87
2,129.9,103.8
3,125,111
4,245,157.4
5,100,127.5
6,134.7,127.7
7,106,110.9
8,91.5,90.8
9,170,160.7
10,295,250.5
11,179,160.9
12,230,213.2
13,249.9,192
14,112,117.4
15,133,117.2
16,177.5,116.6
17,162.5,143.7
18,238,198.2
19,120.9,93.4
20,142.5,92.3
21,299,279
22,82.5,90.4
23,152.5,103.2
24,139.9,114.9
25,146,121.1
26,230.5,212.1
27,360,167.9
28,127.9,110.2
29,205,183.2
30,163.5,93.6
31,225,156.2
32,335,278.1
33,192,151
34,232,178.8
35,197.9,172.4
