obs,sat,act
1,1000,24
2,1010,24
3,920,17
4,840,19
5,830,19
6,1440,32
7,490,7
8,1050,23
9,870,18
10,970,21
11,920,22
12,810,19
13,1080,23
14,1000,19
15,1030,25
16,870,21
17,880,21
18,850,22
19,780,22
20,830,20
21,1190,30
22,800,16
23,830,16
24,890,23
25,880,24
26,980,27
27,1030,23
28,1220,30
29,1080,22
30,970,20
31,1090,25
32,860,19
33,740,16
34,500,10
35,780,12
36,1120,27
37,590,12
38,990,24
39,700,16
40,930,22
41,860,23
42,420,21
43,800,20
44,1140,24
45,920,21
46,800,21
47,1040,24
48,840,17
49,1060,25
50,870,21
51,1120,25
52,800,18
53,960,27
54,880,21
55,1020,24
56,790,14
57,620,18
58,1150,28
59,970,20
60,1060,24
