OBS,GPA,HSM,HSS,HSE,SATM,SATCR,SATW,SEX
1,3.84,10,10,10,630,570,590,1
2,3.97,10,10,10,750,700,630,0
3,3.49,8,10,9,570,510,490,1
4,1.95,6,4,8,640,600,610,0
5,2.59,8,10,9,510,490,490,1
6,3,7,10,10,660,680,630,0
7,1.78,9,9,9,630,490,510,0
8,2.41,6,6,7,670,620,610,0
9,2.83,9,8,10,550,570,540,1
10,0.6,7,7,9,640,720,630,0
11,3.98,10,10,10,630,560,540,1
12,1.52,8,8,7,650,550,460,0
13,2.82,10,10,9,610,540,490,1
14,3.09,10,10,10,670,330,540,0
15,3.79,9,10,10,550,580,560,1
16,3.2,9,10,9,580,490,420,1
17,3.62,10,10,10,720,620,570,0
18,1.74,10,9,6,780,540,620,0
19,2.02,7,5,6,660,520,600,0
20,2.29,10,10,10,690,750,680,0
21,3.13,10,10,9,660,620,590,1
22,2.96,8,9,6,660,670,750,0
23,4,10,10,10,640,620,620,1
24,2.89,8,7,8,620,610,570,0
25,3.95,10,10,10,770,780,760,0
26,1.71,10,10,8,800,750,650,0
27,3.23,8,8,8,650,590,480,0
28,2.07,8,8,8,570,560,560,0
29,1.29,2,6,8,480,490,650,1
30,4,10,10,10,630,630,620,1
31,2.94,9,10,10,490,510,490,0
32,3.89,10,10,10,680,730,740,0
33,3.34,7,7,6,700,420,460,0
34,3.52,9,10,8,740,740,620,0
35,3.75,10,10,10,650,690,670,0
36,3.55,6,7,5,630,420,400,0
37,3.46,8,9,9,590,600,560,1
38,2.02,7,9,8,690,690,640,0
39,1.56,8,5,6,650,600,510,0
40,3.97,10,10,10,730,660,660,0
41,1.36,8,10,10,590,560,510,0
42,4,10,10,10,630,580,490,0
43,3.31,10,10,9,600,570,510,0
44,2.28,8,9,8,590,400,480,0
45,3.65,8,9,9,680,650,650,0
46,2.34,10,10,9,660,530,610,0
47,2.06,8,9,9,650,550,570,1
48,3.25,9,7,8,640,540,540,0
49,3.45,10,10,10,600,570,530,0
50,2.31,9,7,7,580,530,510,0
51,4,10,10,9,630,570,630,0
52,2.5,10,9,7,620,550,430,0
53,3.08,8,8,8,620,560,490,1
54,3.38,10,9,10,670,690,550,0
55,2.69,8,6,6,550,510,460,0
56,3.64,9,9,9,600,590,590,1
57,3.26,10,10,10,510,450,470,1
58,1.49,8,9,9,500,540,530,1
59,2.93,8,4,4,550,480,470,0
60,2.92,7,9,8,740,600,640,0
61,3.99,10,10,10,750,610,640,0
62,3.27,8,10,9,480,450,560,1
63,3.05,9,9,10,700,560,550,0
64,3.36,8,10,9,520,490,470,1
65,0.03,5,7,8,460,450,500,0
66,2.57,7,9,8,520,550,570,1
67,3.33,7,8,7,610,450,480,1
68,3.06,8,9,10,630,560,650,1
69,2.39,6,8,9,620,530,480,0
70,2.21,8,10,10,500,510,590,1
71,2.99,10,10,10,580,480,530,1
72,4,10,10,10,760,650,630,0
73,1.2,8,7,7,520,480,560,0
74,3.28,9,10,9,610,540,460,0
75,3.87,10,10,10,690,580,570,0
76,2.52,8,8,8,510,480,460,1
77,3.32,9,9,9,580,490,480,0
78,1.02,9,9,7,560,560,560,1
79,2.91,6,9,10,580,700,640,1
80,2.14,10,10,10,700,650,640,0
81,2.5,10,10,10,520,480,440,0
82,3.36,10,9,10,640,580,630,0
83,3.51,7,9,8,650,640,640,0
84,2.36,6,5,8,540,520,520,1
85,1.87,6,7,8,700,580,560,0
86,3.45,10,10,10,770,760,730,0
87,2.96,8,7,9,500,540,610,1
88,3.24,6,7,8,660,640,610,1
89,3.32,9,9,10,730,640,670,0
90,3.71,10,10,10,710,760,660,1
91,3.18,9,10,10,620,620,550,1
92,3.59,10,9,10,690,580,560,0
93,2.93,8,9,9,490,530,550,1
94,3.93,9,10,10,690,740,670,1
95,1.41,8,8,9,690,410,460,0
96,1.9,6,7,7,540,720,650,0
97,3.45,10,10,9,640,670,600,1
98,3.06,9,10,9,590,450,460,0
99,1.85,8,8,8,570,520,520,0
