Name,ArchBill13,ArchBill12,N_Arch,N_Eng,N_Staff
BSA,18.2,19.1,31,31,62
Ratio,18.1,17.8,37,0,92
CSO,16.2,16,22,0,72
Schmidt,12.3,13.3,21,8,82
American,9.1,8.2,14,109,282
Browning,6.2,5.2,13,0,40
Cripe,5.6,2.1,6,6,40
Fanning,5.2,4.8,9,2,36
InterDes,4.4,3.6,11,1,22
DLZ,3.7,3.5,7,58,262
ArcDesign,3.5,3.1,6,0,20
Axis,3.2,3.1,4,0,17
URS,3.1,1.6,9,26,52
Gibraltar,2.9,3.2,4,3,23
Artekna,2.2,2.4,7,0,12
HKS,2.1,2.5,3,0,16
Guidon,2,0.6,3,5,15
MSKTD,1.9,1.8,4,0,11
Pedcor,1.6,1.7,5,0,17
Halstead,1.5,1.4,6,0,10
Rowland,1.5,1.5,4,0,25
Sebree,1.5,0.7,2,0,7
ArchFor,1.3,1,3,0,7
Brenner,1.2,1.5,2,0,10
krM,1.1,1.7,5,0,12
