Country,LSI,GINI,CORRUPT,DEMOCRACY,LIFE
Algeria,5.4,35.3,2.8,1.5,74.5
Argentina,7.3,44.5,2.8,5.5,76.95
Armenia,5,31.3,2.9,3,73.23
Australia,7.7,35.2,8.8,6,81.81
Austria,7.4,29.2,8.1,6,79.78
Azerbaijan,5.3,33.7,2.1,1.5,67.36
Bangladesh,5.3,32.1,1.7,3.5,69.75
Belarus,5.2,26.5,2.1,1,71.2
Belgium,7.3,33,7.1,5.5,79.51
Bolivia,6.3,56.3,2.5,5,67.57
Brazil ,7.5,54.7,3.7,4,72.53
United Kingdom,7.2,36,8.6,5.5,78.54
Bulgaria,4.4,28.2,4.1,4.5,73.59
Canada ,7.8,32.6,8.7,6,81.38
Chile,6.7,52.1,7.3,5,77.7
Colombia,7.7,55.9,4,3,74.55
Denmark,8.3,24.7,9.4,6,78.63
Dominican Republic,7.5,47.2,3,5,77.31
Egypt,5.7,30.8,3.4,1.5,72.66
El Salvador,6.7,48.3,4.2,4.5,73.44
Estonia,6,36,6.5,5.5,73.33
Finland,7.9,26.9,9.4,6,79.27
France,6.6,32.7,7.3,5.5,81.19
Germany,7.1,28.3,7.8,5.5,80.07
Ghana,5.2,42.8,3.5,4.5,61
Greece ,6.4,34.3,4.6,5,79.92
Honduras,7,57,2.6,4,70.61
Hungary,5.5,31.2,5.3,5.5,74.79
Iceland,8.2,35.9,9.2,6,80.9
India,5.5,33.9,2.9,4.5,66.8
Indonesia,6.3,35.6,2.2,3.5,71.33
Iran,5.9,38.3,2.9,1,70.06
Ireland,7.6,34.3,7.5,6,80.19
Israel,7,39.2,6.3,5,80.96
Italy  ,6.7,36,5.2,5.5,81.77
Japan  ,6.5,24.9,7.3,5.5,82.25
Jordan,5.9,35.4,5.7,3,80.05
Kenya,3.7,47.7,2.1,1.5,59.48
Latvia  ,5.4,34.8,4.8,5.5,72.68
Lithuania,5.5,37.6,4.8,5.5,75.34
Mali,4.7,33,2.9,4.5,52.61
Mexico,7.9,47.2,3.5,4.5,76.47
Moldova,4.9,33,2.8,4,71.37
Morocco,5.4,40.9,3.2,2.5,75.9
Netherlands,7.6,30.9,9,6,79.68
New Zealand,7.5,36.2,9.6,6,80.59
Nigeria,5.7,42.9,1.9,3,47.56
Norway ,7.9,25.8,8.7,6,80.2
Pakistan,5,30,2.1,1.5,65.99
Peru,6.2,48.1,3.5,3.5,72.47
Philippines,5.9,43,2.5,4.5,71.66
Poland ,6.4,34,4.2,5.5,76.05
Portugal,5.7,38.5,6.5,6,78.54
Romania,5.7,27.4,3.7,5,73.98
Russia ,5.5,40.1,2.3,2,66.29
Senegal,4.5,40.3,3.2,3.5,59.78
Slovakia,5.9,26,4.9,5.5,75.83
Slovenia,6.9,31.2,6.6,5.5,77.3
South-Africa,5.8,63.1,4.5,5.5,49.33
South-Korea,6,31.6,5,5,79.05
Spain,7.2,34.7,6.7,5.5,81.17
Sweden,7.8,25,9.3,6,81.07
Switzerland,8,33.7,9,6,81.07
Tanzania,2.8,37.6,2.9,3,52.85
Turkey ,5.7,40,4.1,2.5,72.5
Uganda,4.8,44.3,2.5,1.5,53.24
Ukraine,5,25.6,2.7,3,68.58
Uruguay,6.7,45.3,5.9,6,76.21
USA,7.4,40.8,7.2,6,78.37
Uzbekistan,6,36.7,2.2,0.5,72.51
Vietnam,6.1,35.6,2.6,0.5,72.18
Zimbabwe,3,50.1,2.6,1.5,49.64
