Grp,Time,SqrtTime
1,7.22,2.687005769
1,10.98,3.313608305
1,6.05,2.459674775
1,13.23,3.637306696
1,3.43,1.852025918
1,14.12,3.757658846
1,7.75,2.783882181
1,2.37,1.539480432
1,12.15,3.485685012
1,2.93,1.711724277
1,10.92,3.304542328
1,7.23,2.688865932
1,3.38,1.838477631
1,4.35,2.085665361
1,11.27,3.357082066
1,5.53,2.351595203
1,9.30,3.049590136
1,0.72,0.848528137
1,4.23,2.05669638
1,9.42,3.069201851
1,0.98,0.989949494
2,2.20,1.483239697
2,10.85,3.293933818
2,8.57,2.927456234
2,7.57,2.751363298
2,12.87,3.587478223
2,5.98,2.445403852
2,7.68,2.771281292
2,3.38,1.838477631
2,8.12,2.84956137
2,3.68,1.918332609
2,7.22,2.687005769
2,1.08,1.039230485
2,2.17,1.473091986
2,7.65,2.765863337
2,15.28,3.908964057
2,4.48,2.116601049
2,7.70,2.774887385
2,6.77,2.601922366
2,18.95,4.353159772
2,1.25,1.118033989
2,12.78,3.574912586
3,4.77,2.184032967
3,12.57,3.54541958
3,3.35,1.830300522
3,10.30,3.209361307
3,3.45,1.857417562
3,2.95,1.717556404
3,9.95,3.154362059
3,17.35,4.16533312
3,11.42,3.37934905
3,12.62,3.552463934
3,9.73,3.119294792
3,1.77,1.33041347
3,2.92,1.708800749
3,2.78,1.6673332
3,11.18,3.343650699
3,2.28,1.509966887
3,4.38,2.092844954
3,8.42,2.901723626
3,1.98,1.407124728
3,1.13,1.063014581
3,3.10,1.760681686
4,8.18,2.860069929
4,11.22,3.349626845
4,4.38,2.092844954
4,3.77,1.941648784
4,17.77,4.215447782
4,23.52,4.849742261
4,0.23,0.479583152
4,7.95,2.819574436
4,3.03,1.740689519
4,5.08,2.253885534
4,8.07,2.840774542
4,4.35,2.085665361
4,4.02,2.004993766
4,13.23,3.637306696
4,1.32,1.148912529
4,8.48,2.912043956
4,1.40,1.183215957
4,8.33,2.886173938
4,8.60,2.93257566
4,12.25,3.5
4,10.10,3.178049716
5,3.77,1.941648784
5,10.10,3.178049716
5,2.35,1.532970972
5,0.45,0.670820393
5,0.13,0.360555128
5,1.40,1.183215957
5,1.15,1.072380529
5,6.00,2.449489743
5,2.80,1.673320053
5,0.88,0.938083152
5,13.35,3.653765181
5,3.27,1.808314132
5,0.57,0.754983444
5,0.42,0.64807407
5,5.75,2.397915762
5,4.08,2.019900988
5,2.32,1.523154621
5,1.07,1.034408043
5,4.02,2.004993766
5,1.77,1.33041347
5,2.05,1.431782106
