Group,Interval
1,16
1,22
1,30
1,37
1,40
1,43
1,43
1,45
1,47
1,51
1,54
1,56
1,59
1,61
1,66
1,74
1,77
1,78
1,79
1,84
1,91
1,92
1,98
1,119
1,120
1,143
1,155
1,190
1,204
1,248
2,20
2,25
2,33
2,38
2,42
2,49
2,52
2,60
2,62
2,58
2,68
2,69
2,72
2,74
2,80
2,86
2,86
2,89
2,100
2,111
2,126
2,135
2,143
2,148
2,164
2,178
2,188
2,221
2,253
2,308
3,21
3,32
3,47
3,59
3,77
3,78
3,81
3,86
3,98
3,100
3,101
3,109
3,112
3,127
3,131
3,134
3,142
3,143
3,148
3,158
3,161
3,162
3,179
3,188
3,197
3,212
3,235
3,256
3,287
3,328
