Group,Loss,,,,,,,,,,,,,,,,
Ctrl,5.3,,,,,,,,,,,,,,,,
Ctrl,3.9,,,,,,,,,,,,,,,,
Ctrl,16.5,,,,,,,,,,,,,,,,
Ctrl,-14.9,,,,,,,,,,,,,,,,
Ctrl,-0.3,,,,,,,,,,,,,,,,
Ctrl,-4.3,,,,,,,,,,,,,,,,
Ctrl,-30.4,,,,,,,,,,,,,,,,
Ctrl,-12.5,,,,,,,,,,,,,,,,
Ctrl,-15.4,,,,,,,,,,,,,,,,
Ctrl,-19.5,,,,,,,,,,,,,,,,
Ctrl,-6.5,,,,,,,,,,,,,,,,
Ctrl,13.4,,,,,,,,,,,,,,,,
Ctrl,-4.2,,,,,,,,,,,,,,,,
Ctrl,6.9,,,,,,,,,,,,,,,,
Ctrl,25.5,,,,,,,,,,,,,,,,
Ctrl,-0.3,,,,,,,,,,,,,,,,
Ctrl,-3.2,,,,,,,,,,,,,,,,
Ctrl,1.9,,,,,,,,,,,,,,,,
Ctrl,-6.6,,,,,,,,,,,,,,,,
Ctrl,-12.7,,,,,,,,,,,,,,,,
Ctrl,-1.2,,,,,,,,,,,,,,,,
Ctrl,-13.7,,,,,,,,,,,,,,,,
Ctrl,14.3,,,,,,,,,,,,,,,,
Ctrl,8.8,,,,,,,,,,,,,,,,
Ctrl,6.8,,,,,,,,,,,,,,,,
Ctrl,-7.1,,,,,,,,,,,,,,,,
Ctrl,-9.9,,,,,,,,,,,,,,,,
Ctrl,-5.6,,,,,,,,,,,,,,,,
Ctrl,15.5,,,,,,,,,,,,,,,,
Ctrl,4.8,,,,,,,,,,,,,,,,
Ctrl,6.1,,,,,,,,,,,,,,,,
Ctrl,-4.9,,,,,,,,,,,,,,,,
Ctrl,6.1,,,,,,,,,,,,,,,,
Ctrl,6.6,,,,,,,,,,,,,,,,
Ctrl,-4.5,,,,,,,,,,,,,,,,
Indiv,-6.8,,,,,,,,,,,,,,,,
Indiv,-4.8,,,,,,,,,,,,,,,,
Indiv,5.5,,,,,,,,,,,,,,,,
Indiv,11.9,,,,,,,,,,,,,,,,
Indiv,-9.0,,,,,,,,,,,,,,,,
Indiv,-4.7,,,,,,,,,,,,,,,,
Indiv,-9.1,,,,,,,,,,,,,,,,
Indiv,-15.1,,,,,,,,,,,,,,,,
Indiv,-1.6,,,,,,,,,,,,,,,,
Indiv,-3.8,,,,,,,,,,,,,,,,
Indiv,7.3,,,,,,,,,,,,,,,,
Indiv,-6.3,,,,,,,,,,,,,,,,
Indiv,12.4,,,,,,,,,,,,,,,,
Indiv,-0.9,,,,,,,,,,,,,,,,
Indiv,-1.9,,,,,,,,,,,,,,,,
Indiv,-18.3,,,,,,,,,,,,,,,,
Indiv,6.9,,,,,,,,,,,,,,,,
Indiv,-17.8,,,,,,,,,,,,,,,,
Indiv,10.4,,,,,,,,,,,,,,,,
Indiv,-23.5,,,,,,,,,,,,,,,,
Indiv,8.0,,,,,,,,,,,,,,,,
Indiv,-5.7,,,,,,,,,,,,,,,,
Indiv,0.5,,,,,,,,,,,,,,,,
Indiv,-2.1,,,,,,,,,,,,,,,,
Indiv,-5.0,,,,,,,,,,,,,,,,
Indiv,-8.4,,,,,,,,,,,,,,,,
Indiv,0.2,,,,,,,,,,,,,,,,
Indiv,12.0,,,,,,,,,,,,,,,,
Indiv,-5.6,,,,,,,,,,,,,,,,
Indiv,-1.6,,,,,,,,,,,,,,,,
Indiv,-10.7,,,,,,,,,,,,,,,,
Indiv,-4.0,,,,,,,,,,,,,,,,
Indiv,-11.0,,,,,,,,,,,,,,,,
Indiv,-12.1,,,,,,,,,,,,,,,,
Indiv,-15.1,,,,,,,,,,,,,,,,
Grp,-11.4,,,,,,,,,,,,,,,,
Grp,-7.3,,,,,,,,,,,,,,,,
Grp,-19.8,,,,,,,,,,,,,,,,
Grp,-13.7,,,,,,,,,,,,,,,,
Grp,-9.0,,,,,,,,,,,,,,,,
Grp,-22.4,,,,,,,,,,,,,,,,
Grp,-9.6,,,,,,,,,,,,,,,,
Grp,1.1,,,,,,,,,,,,,,,,
Grp,-2.6,,,,,,,,,,,,,,,,
Grp,-0.4,,,,,,,,,,,,,,,,
Grp,-2.5,,,,,,,,,,,,,,,,
Grp,-1.0,,,,,,,,,,,,,,,,
Grp,-2.2,,,,,,,,,,,,,,,,
Grp,-32.1,,,,,,,,,,,,,,,,
Grp,-30.5,,,,,,,,,,,,,,,,
Grp,-4.1,,,,,,,,,,,,,,,,
Grp,-18.1,,,,,,,,,,,,,,,,
Grp,-5.5,,,,,,,,,,,,,,,,
Grp,-14.1,,,,,,,,,,,,,,,,
Grp,-18.2,,,,,,,,,,,,,,,,
Grp,-11.0,,,,,,,,,,,,,,,,
Grp,-19.0,,,,,,,,,,,,,,,,
Grp,3.1,,,,,,,,,,,,,,,,
Grp,-12.0,,,,,,,,,,,,,,,,
Grp,-24.4,,,,,,,,,,,,,,,,
Grp,-11.3,,,,,,,,,,,,,,,,
Grp,11.3,,,,,,,,,,,,,,,,
Grp,-5.2,,,,,,,,,,,,,,,,
Grp,-12.9,,,,,,,,,,,,,,,,
Grp,-18.6,,,,,,,,,,,,,,,,
Grp,19.4,,,,,,,,,,,,,,,,
Grp,-19.2,,,,,,,,,,,,,,,,
Grp,-23.9,,,,,,,,,,,,,,,,
Grp,-19.6,,,,,,,,,,,,,,,,
