Sex,Control,Runners
Female,159,119
Female,183,84
Female,140,89
Female,140,119
Female,125,127
Female,155,111
Female,148,115
Female,132,109
Female,158,111
Female,136,120
Female,154,105
Female,169,104
Female,147,94
Female,183,126
Female,167,113
Female,151,141
Female,166,116
Female,134,104
Female,131,82
Female,164,164
Female,164,119
Female,169,110
Female,127,109
Female,126,106
Female,141,125
Female,163,106
Female,152,108
Female,150,122
Female,151,145
Female,162,115
Female,148,110
Female,162,92
Female,136,114
Female,134,121
Female,133,123
Female,110,128
Female,168,126
Female,140,119
Female,191,119
Female,137,121
Female,144,115
Female,163,118
Female,145,106
Female,149,128
Female,148,95
Female,141,126
Female,142,112
Female,145,118
Female,166,95
Female,162,114
Female,111,109
Female,150,136
Female,175,129
Female,162,139
Female,151,150
Female,142,112
Female,127,127
Female,160,126
Female,138,107
Female,141,117
Female,154,96
Female,175,135
Female,168,116
Female,173,111
Female,151,129
Female,139,130
Female,144,109
Female,145,100
Female,175,118
Female,147,133
Female,143,122
Female,105,144
Female,182,151
Female,157,89
Female,135,128
Female,150,140
Female,146,94
Female,151,126
Female,143,142
Female,162,121
Female,161,125
Female,155,116
Female,154,107
Female,176,126
Female,152,95
Female,135,134
Female,118,100
Female,132,95
Female,166,144
Female,143,108
Female,131,114
Female,136,121
Female,168,105
Female,148,78
Female,139,102
Female,132,118
Female,155,137
Female,145,122
Female,125,106
Female,153,139
Female,156,114
Female,145,110
Female,121,128
Female,126,98
Female,140,100
Female,143,99
Female,145,103
Female,146,122
Female,163,115
Female,162,123
Female,154,107
Female,151,106
Female,138,113
Female,156,134
Female,152,126
Female,163,149
Female,160,147
Female,130,120
Female,166,141
Female,177,124
Female,148,116
Female,170,112
Female,169,132
Female,131,97
Female,168,80
Female,161,128
Female,132,106
Female,135,109
Female,144,100
Female,152,128
Female,154,128
Female,136,95
Female,144,115
Female,162,103
Female,136,98
Female,115,85
Female,108,113
Female,167,123
Female,133,102
Female,118,126
Female,160,106
Female,160,105
Female,137,132
Female,137,109
Female,143,131
Female,140,105
Female,145,108
Female,134,122
Female,142,128
Female,146,132
Female,142,85
Female,164,116
Female,164,88
Female,196,134
Female,154,126
Female,143,87
Female,143,109
Female,127,107
Female,146,121
Female,136,138
Female,135,117
Female,157,121
Female,165,112
Female,173,119
Female,157,106
Female,155,126
Female,138,86
Female,146,108
Female,147,124
Female,138,122
Female,123,94
Female,170,146
Female,165,111
Female,151,100
Female,166,141
Female,142,122
Female,114,117
Female,107,120
Female,170,106
Female,150,123
Female,142,139
Female,143,100
Female,132,150
Female,125,111
Female,152,108
Female,132,97
Female,136,124
Female,153,147
Female,159,102
Female,160,98
Female,140,128
Female,142,92
Female,150,124
Female,125,111
Female,124,135
Female,136,140
Female,157,117
Female,152,94
Female,129,111
Female,169,88
Male,127,100
Male,99,120
Male,157,93
Male,102,107
Male,97,138
Male,122,96
Male,128,107
Male,136,119
Male,142,99
Male,127,102
Male,127,87
Male,157,88
Male,125,80
Male,113,120
Male,131,104
Male,114,110
Male,143,127
Male,133,112
Male,143,96
Male,128,87
Male,137,94
Male,143,81
Male,134,116
Male,107,102
Male,137,102
Male,153,98
Male,95,97
Male,144,103
Male,134,97
Male,129,101
Male,131,86
Male,152,92
Male,109,119
Male,95,121
Male,96,103
Male,134,98
Male,131,132
Male,128,93
Male,115,105
Male,125,116
Male,156,93
Male,134,114
Male,102,97
Male,161,128
Male,130,98
Male,169,107
Male,91,105
Male,146,95
Male,115,104
Male,120,86
Male,97,102
Male,131,95
Male,152,83
Male,118,78
Male,112,96
Male,77,110
Male,123,101
Male,122,107
Male,135,113
Male,90,98
Male,119,91
Male,124,92
Male,133,113
Male,153,88
Male,112,97
Male,128,96
Male,112,112
Male,128,130
Male,155,105
Male,123,97
Male,116,90
Male,138,124
Male,124,117
Male,155,99
Male,96,102
Male,149,97
Male,128,108
Male,115,125
Male,105,107
Male,157,108
Male,124,103
Male,125,108
Male,150,123
Male,139,127
Male,125,102
Male,139,114
Male,137,109
Male,128,116
Male,115,95
Male,114,102
Male,145,125
Male,143,103
Male,133,121
Male,114,89
Male,109,111
Male,108,98
Male,145,101
Male,140,99
Male,128,108
Male,129,100
Male,130,102
Male,152,120
Male,110,98
Male,106,108
Male,130,94
Male,113,85
Male,129,106
Male,161,126
Male,143,129
Male,164,118
Male,134,93
Male,122,105
Male,138,100
Male,125,100
Male,134,98
Male,149,116
Male,126,109
Male,124,100
Male,136,127
Male,137,80
Male,125,109
Male,130,98
Male,172,97
Male,162,126
Male,130,82
Male,127,99
Male,128,90
Male,115,94
Male,143,112
Male,121,114
Male,153,106
Male,119,114
Male,143,96
Male,132,93
Male,108,111
Male,125,110
Male,133,115
Male,119,102
Male,126,103
Male,146,116
Male,150,115
Male,133,95
Male,115,103
Male,157,112
Male,158,127
Male,102,119
Male,117,118
Male,138,104
Male,138,114
Male,146,96
Male,127,126
Male,116,104
Male,140,87
Male,150,104
Male,114,105
Male,134,104
Male,168,94
Male,143,79
Male,158,109
Male,151,99
Male,142,83
Male,129,106
Male,121,109
Male,118,118
Male,136,106
Male,134,95
Male,119,102
Male,144,91
Male,132,88
Male,124,93
Male,95,119
Male,120,109
Male,118,111
Male,133,146
Male,107,99
Male,130,92
Male,139,117
Male,120,115
Male,131,103
Male,149,98
Male,150,83
Male,115,87
Male,142,109
Male,154,96
Male,129,111
Male,134,97
Male,131,96
Male,134,101
Male,108,93
Male,144,119
Male,120,103
Male,127,69
Male,160,104
Male,152,117
Male,137,95
Male,109,92
Male,121,100
Male,135,112
Male,134,97
Male,127,89
