TotalCost,Smartcart,Informed
19.52,With,Yes
21.22,With,Yes
22.80,With,Yes
22.83,With,Yes
24.85,With,Yes
25.29,With,Yes
25.71,With,Yes
25.95,With,Yes
26.19,With,Yes
26.59,With,Yes
28.49,With,Yes
28.54,With,Yes
28.63,With,Yes
28.90,With,Yes
29.17,With,Yes
29.34,With,Yes
29.94,With,Yes
30.19,With,Yes
30.53,With,Yes
30.70,With,Yes
30.84,With,Yes
31.28,With,Yes
31.28,With,Yes
31.68,With,Yes
31.73,With,Yes
33.32,With,Yes
33.73,With,Yes
33.77,With,Yes
34.71,With,Yes
35.21,With,Yes
35.94,With,Yes
36.12,With,Yes
37.36,With,Yes
37.90,With,Yes
38.12,With,Yes
38.49,With,Yes
39.01,With,Yes
39.56,With,Yes
39.56,With,Yes
39.69,With,Yes
39.80,With,Yes
39.83,With,Yes
40.00,With,Yes
41.19,With,Yes
41.23,With,Yes
43.08,With,Yes
43.54,With,Yes
44.73,With,Yes
45.65,With,Yes
19.29,Without,Yes
19.93,Without,Yes
20.88,Without,Yes
21.12,Without,Yes
22.51,Without,Yes
23.04,Without,Yes
23.79,Without,Yes
24.03,Without,Yes
24.21,Without,Yes
24.71,Without,Yes
24.91,Without,Yes
24.93,Without,Yes
25.37,Without,Yes
25.62,Without,Yes
26.29,Without,Yes
26.81,Without,Yes
27.07,Without,Yes
27.19,Without,Yes
28.39,Without,Yes
28.51,Without,Yes
28.57,Without,Yes
28.99,Without,Yes
29.29,Without,Yes
29.34,Without,Yes
29.65,Without,Yes
29.78,Without,Yes
29.82,Without,Yes
29.95,Without,Yes
29.96,Without,Yes
30.43,Without,Yes
30.48,Without,Yes
30.87,Without,Yes
31.16,Without,Yes
32.47,Without,Yes
32.52,Without,Yes
32.86,Without,Yes
33.49,Without,Yes
33.53,Without,Yes
33.69,Without,Yes
37.74,Without,Yes
39.99,Without,Yes
40.58,Without,Yes
41.80,Without,Yes
42.54,Without,Yes
42.69,Without,Yes
44.09,Without,Yes
44.13,Without,Yes
46.09,Without,Yes
23.35,With,No
24.84,With,No
26.67,With,No
26.81,With,No
27.39,With,No
27.55,With,No
28.03,With,No
28.10,With,No
28.53,With,No
28.61,With,No
29.25,With,No
29.29,With,No
30.01,With,No
30.84,With,No
31.45,With,No
31.91,With,No
32.21,With,No
32.48,With,No
32.59,With,No
32.70,With,No
32.89,With,No
32.91,With,No
33.16,With,No
33.35,With,No
33.67,With,No
34.49,With,No
35.52,With,No
35.77,With,No
36.12,With,No
37.15,With,No
37.56,With,No
37.70,With,No
37.71,With,No
38.12,With,No
38.25,With,No
38.56,With,No
39.33,With,No
39.99,With,No
41.66,With,No
41.71,With,No
42.81,With,No
43.59,With,No
43.98,With,No
44.44,With,No
44.59,With,No
46.66,With,No
48.46,With,No
52.86,With,No
27.69,Without,No
28.82,Without,No
29.83,Without,No
31.49,Without,No
31.90,Without,No
32.91,Without,No
33.06,Without,No
33.84,Without,No
34.07,Without,No
34.15,Without,No
34.90,Without,No
35.08,Without,No
35.49,Without,No
35.62,Without,No
36.31,Without,No
36.33,Without,No
36.40,Without,No
36.92,Without,No
37.23,Without,No
37.45,Without,No
37.85,Without,No
38.34,Without,No
38.42,Without,No
38.78,Without,No
38.93,Without,No
38.95,Without,No
39.14,Without,No
40.43,Without,No
40.50,Without,No
40.53,Without,No
40.94,Without,No
41.47,Without,No
42.22,Without,No
42.63,Without,No
42.63,Without,No
43.35,Without,No
43.83,Without,No
44.88,Without,No
45.55,Without,No
46.39,Without,No
46.45,Without,No
46.49,Without,No
48.45,Without,No
49.04,Without,No
51.37,Without,No
51.71,Without,No
53.26,Without,No
56.71,Without,No
51.51,Without,No
