Feedback,Agent,Increase_in_score
Simple,Yes,3
Simple,Yes,-1
Simple,Yes,5
Simple,Yes,8
Simple,Yes,8
Simple,Yes,10
Simple,Yes,-4
Simple,Yes,3
Simple,Yes,8
Simple,Yes,0
Simple,Yes,1
Simple,Yes,-2
Simple,Yes,-3
Simple,Yes,0
Simple,Yes,1
Simple,Yes,-4
Simple,Yes,2
Simple,Yes,2
Simple,Yes,4
Simple,Yes,2
Simple,Yes,3
Simple,Yes,2
Simple,Yes,9
Simple,Yes,3
Simple,Yes,3
Simple,Yes,2
Simple,Yes,11
Simple,Yes,7
Simple,Yes,12
Simple,Yes,1
Simple,Yes,10
Simple,Yes,-2
Elaborate,Yes,2
Elaborate,Yes,8
Elaborate,Yes,7
Elaborate,Yes,8
Elaborate,Yes,4
Elaborate,Yes,9
Elaborate,Yes,9
Elaborate,Yes,5
Elaborate,Yes,6
Elaborate,Yes,4
Elaborate,Yes,5
Elaborate,Yes,4
Elaborate,Yes,5
Elaborate,Yes,6
Elaborate,Yes,6
Elaborate,Yes,3
Elaborate,Yes,6
Elaborate,Yes,-2
Elaborate,Yes,9
Elaborate,Yes,2
Elaborate,Yes,6
Elaborate,Yes,9
Elaborate,Yes,9
Elaborate,Yes,5
Elaborate,Yes,4
Elaborate,Yes,8
Elaborate,Yes,5
Elaborate,Yes,3
Elaborate,Yes,2
Elaborate,Yes,2
Elaborate,Yes,2
Elaborate,Yes,5
Elaborate,Yes,3
Elaborate,Yes,7
Simple,No,2
Simple,No,8
Simple,No,-1
Simple,No,2
Simple,No,4
Simple,No,0
Simple,No,2
Simple,No,9
Simple,No,8
Simple,No,6
Simple,No,3
Simple,No,5
Simple,No,12
Simple,No,2
Simple,No,-1
Simple,No,5
Simple,No,6
Simple,No,3
Simple,No,8
Simple,No,9
Simple,No,5
Simple,No,2
Simple,No,1
Simple,No,3
Simple,No,2
Simple,No,3
Simple,No,9
Simple,No,1
Simple,No,3
Simple,No,1
Simple,No,5
Simple,No,5
Simple,No,6
Simple,No,1
Simple,No,9
Elaborate,No,-1
Elaborate,No,-2
Elaborate,No,5
Elaborate,No,8
Elaborate,No,-1
Elaborate,No,5
Elaborate,No,3
Elaborate,No,7
Elaborate,No,5
Elaborate,No,6
Elaborate,No,-1
Elaborate,No,4
Elaborate,No,10
Elaborate,No,-2
Elaborate,No,3
Elaborate,No,-4
Elaborate,No,11
Elaborate,No,7
Elaborate,No,5
Elaborate,No,3
Elaborate,No,6
Elaborate,No,-1
Elaborate,No,6
Elaborate,No,2
Elaborate,No,3
Elaborate,No,4
Elaborate,No,7
Elaborate,No,-1
Elaborate,No,0
Elaborate,No,5
Elaborate,No,3
Elaborate,No,4
Elaborate,No,3
Elaborate,No,1
