obs,tool,time,diam
1,1,1,25.03
2,1,1,25.03
3,1,1,25.032
4,1,2,25.028
5,1,2,25.028
6,1,2,25.028
7,1,3,25.026
8,1,3,25.026
9,1,3,25.026
10,2,1,25.016
11,2,1,25.018
12,2,1,25.016
13,2,2,25.022
14,2,2,25.02
15,2,2,25.018
16,2,3,25.016
17,2,3,25.016
18,2,3,25.016
19,3,1,25.005
20,3,1,25.008
21,3,1,25.006
22,3,2,25.012
23,3,2,25.012
24,3,2,25.014
25,3,3,25.01
26,3,3,25.01
27,3,3,25.008
28,4,1,25.012
29,4,1,25.012
30,4,1,25.012
31,4,2,25.018
32,4,2,25.02
33,4,2,25.02
34,4,3,25.01
35,4,3,25.014
36,4,3,25.018
37,5,1,24.996
38,5,1,24.998
39,5,1,24.998
40,5,2,25.006
41,5,2,25.006
42,5,2,25.006
43,5,3,25
44,5,3,25.002
45,5,3,24.999
