obs,species,water,pctnit
1,1,1,3.644
2,1,1,3.500
3,1,1,3.509
4,1,1,3.137
5,1,1,3.100
6,1,1,3.081
7,1,1,3.172
8,1,1,3.050
9,1,1,3.096
10,1,2,2.763
11,1,2,2.671
12,1,2,2.631
13,1,2,2.795
14,1,2,2.797
15,1,2,2.784
16,1,2,2.817
17,1,2,2.798
18,1,2,2.816
19,1,3,2.876
20,1,3,2.891
21,1,3,2.850
22,1,3,3.163
23,1,3,3.072
24,1,3,3.023
25,1,3,2.501
26,1,3,2.520
27,1,3,2.690
28,1,4,2.996
29,1,4,3.012
30,1,4,3.040
31,1,4,2.944
32,1,4,2.946
33,1,4,2.922
34,1,4,2.846
35,1,4,2.865
36,1,4,2.855
37,1,5,2.920
38,1,5,2.905
39,1,5,3.012
40,1,5,3.114
41,1,5,3.156
42,1,5,3.142
43,1,5,3.078
44,1,5,3.044
45,1,5,3.096
46,1,6,3.095
47,1,6,3.115
48,1,6,3.134
49,1,6,3.192
50,1,6,3.142
51,1,6,3.190
52,1,6,3.042
53,1,6,2.997
54,1,6,2.960
55,1,7,3.335
56,1,7,3.345
57,1,7,3.343
58,1,7,3.640
59,1,7,3.600
60,1,7,3.604
61,1,7,3.083
62,1,7,3.056
63,1,7,2.995
64,2,1,2.287
65,2,1,2.367
66,2,1,2.315
67,2,1,2.630
68,2,1,2.622
69,2,1,2.640
70,2,1,2.204
71,2,1,2.340
72,2,1,2.389
73,2,2,2.264
74,2,2,2.239
75,2,2,2.197
76,2,2,1.959
77,2,2,1.940
78,2,2,1.858
79,2,2,1.978
80,2,2,2.003
81,2,2,2.014
82,2,3,2.098
83,2,3,2.134
84,2,3,2.087
85,2,3,2.199
86,2,3,2.181
87,2,3,2.187
88,2,3,1.870
89,2,3,1.841
90,2,3,1.875
91,2,4,2.058
92,2,4,2.014
93,2,4,2.063
94,2,4,2.173
95,2,4,2.186
96,2,4,2.160
97,2,4,1.693
98,2,4,1.693
99,2,4,1.666
100,2,5,2.090
101,2,5,2.095
102,2,5,2.093
103,2,5,2.151
104,2,5,1.943
105,2,5,1.915
106,2,5,1.782
107,2,5,1.777
108,2,5,1.758
109,2,6,2.257
110,2,6,2.183
111,2,6,2.212
112,2,6,1.608
113,2,6,1.585
114,2,6,1.613
115,2,6,2.137
116,2,6,2.137
117,2,6,2.123
118,2,7,2.397
119,2,7,2.257
120,2,7,2.371
121,2,7,2.079
122,2,7,2.058
123,2,7,2.087
124,2,7,2.208
125,2,7,2.274
126,2,7,2.235
127,3,1,3.122
128,3,1,3.095
129,3,1,3.092
130,3,1,3.208
131,3,1,3.237
132,3,1,3.177
133,3,1,2.850
134,3,1,2.867
135,3,1,2.882
136,3,2,3.180
137,3,2,3.118
138,3,2,2.987
139,3,2,2.846
140,3,2,2.813
141,3,2,2.810
142,3,2,3.343
143,3,2,3.588
144,3,2,3.702
145,3,3,3.453
146,3,3,3.388
147,3,3,3.454
148,3,3,3.289
149,3,3,3.275
150,3,3,3.222
151,3,3,2.936
152,3,3,2.927
153,3,3,2.859
154,3,4,3.020
155,3,4,3.054
156,3,4,3.024
157,3,4,2.891
158,3,4,2.866
159,3,4,2.907
160,3,4,3.647
161,3,4,3.281
162,3,4,3.587
163,3,5,3.464
164,3,5,3.515
165,3,5,3.534
166,3,5,3.663
167,3,5,3.560
168,3,5,3.617
169,3,5,3.135
170,3,5,3.014
171,3,5,3.058
172,3,6,3.396
173,3,6,3.380
174,3,6,3.344
175,3,6,3.958
176,3,6,3.955
177,3,6,3.902
178,3,6,3.218
179,3,6,3.177
180,3,6,3.135
181,3,7,3.886
182,3,7,3.830
183,3,7,3.836
184,3,7,3.688
185,3,7,3.639
186,3,7,3.557
187,3,7,3.112
188,3,7,3.184
189,3,7,3.161
190,4,1,1.501
191,4,1,1.539
192,4,1,1.456
193,4,1,1.216
194,4,1,1.217
195,4,1,1.166
196,4,1,1.621
197,4,1,1.559
198,4,1,1.532
199,4,2,1.188
200,4,2,1.195
201,4,2,1.167
202,4,2,1.064
203,4,2,1.085
204,4,2,1.076
205,4,2,1.650
206,4,2,1.653
207,4,2,1.655
208,4,3,1.137
209,4,3,1.135
210,4,3,1.154
211,4,3,1.297
212,4,3,1.243
213,4,3,1.230
214,4,3,0.975
215,4,3,0.982
216,4,3,0.975
217,4,4,0.966
218,4,4,0.969
219,4,4,0.988
220,4,4,1.187
221,4,4,1.177
222,4,4,1.157
223,4,4,0.873
224,4,4,0.877
225,4,4,0.884
226,4,5,1.558
227,4,5,1.554
228,4,5,1.537
229,4,5,0.973
230,4,5,0.981
231,4,5,0.972
232,4,5,1.252
233,4,5,1.255
234,4,5,1.244
235,4,6,1.291
236,4,6,1.275
237,4,6,1.281
238,4,6,1.339
239,4,6,1.389
240,4,6,1.337
241,4,6,1.164
242,4,6,1.180
243,4,6,1.185
244,4,7,0.980
245,4,7,0.964
246,4,7,0.981
247,4,7,0.755
248,4,7,0.745
249,4,7,0.719
250,4,7,1.222
251,4,7,1.229
252,4,7,1.214
