Title,Budget,USRevenue,Opening,Theaters,Opinion,LOpening,Profit,Profita
Madagascar: Escape 2 Africa,150,180,63.1,4056,6.9,4.14472077,1,1Yes
Sex and the City,65,152.6,56.8,3285,5.4,4.039536326,1,1Yes
The Ruins,8,17.4,8,2812,6,2.079441542,1,1Yes
Stop-Loss,25,10.9,4.6,1291,6.5,1.526056303,0,0No
The Curious Case of Benjamin Button,150,127.5,26.9,2988,8,3.292126287,0,0No
Redbelt,7,2.3,1.1,1379,6.9,0.09531018,0,0No
The Secret Life of Bees,11,37.8,10.5,1591,7,2.351375257,1,1Yes
Kung Fu Panda,130,215.4,60.2,4114,7.7,4.097672352,1,1Yes
The Happening,60,64.5,30.5,2986,5.2,3.417726684,1,1Yes
Zach and Miri Make a Porno,24,31.5,10.1,2735,7.1,2.312535424,1,1Yes
The Strangers,10,52.5,21,2466,6,3.044522438,1,1Yes
Prom Night,20,43.8,20.8,2700,3.6,3.034952987,1,1Yes
The Dark Knight,185,533.3,158.4,4366,8.9,5.065123479,1,1Yes
Baby Mama,30,60.3,17.4,2543,6.1,2.856470206,1,1Yes
Wanted,75,134.3,50.9,3175,6.8,3.929862924,1,1Yes
Changeling,55,35.7,10,1850,8,2.302585093,0,0No
Yes Man,70,97.7,18.3,3434,7,2.90690106,1,1Yes
The Express,40,9.6,4.6,2808,7.1,1.526056303,0,0No
W.,25.1,25.5,10.5,2030,6.6,2.351375257,1,1Yes
The Mummy: Tomb of the Dragon Emporer,145,102.2,40.5,3760,5.1,3.701301974,0,0No
Eagle Eye,80,101.1,29.2,3510,6.6,3.374168709,1,1Yes
Burn After Reading,37,60.3,19.1,2651,7.2,2.949688335,1,1Yes
Saw V,10.8,56.7,30.1,3060,5.8,3.404525172,1,1Yes
Miracle and St Anna,45,7.9,3.5,1185,5.9,1.252762968,0,0No
The Day the Earth Stood Still,80,79.4,30.5,3560,5.5,3.417726684,0,0No
Be Kind Rewind,20,11.2,4.1,808,6.6,1.410986974,0,0No
Jumper,85,80.2,32.1,3428,5.9,3.46885603,0,0No
Hancock,150,227.9,62.6,3965,6.5,4.136765278,1,1Yes
Speed Racer,120,43.9,18.6,3606,6.3,2.923161581,0,0No
The Eye,12,31.4,12.4,2436,5.3,2.517696473,1,1Yes
Death Race,45,36.1,12.6,2532,6.6,2.533696814,0,0No
