GPA,HSM,HSS,HSE,SATM,SATCR,SATW,sex,HIGPA
3.84,10,10,10,630,570,590,2,1
3.97,10,10,10,750,700,630,1,1
3.49,8,10,9,570,510,490,2,1
1.95,6,4,8,640,600,610,1,0
2.59,8,10,9,510,490,490,2,0
3,7,10,10,660,680,630,1,1
1.78,9,9,9,630,490,510,1,0
2.41,6,6,7,670,620,610,1,0
2.83,9,8,10,550,570,540,2,0
0.6,7,7,9,640,720,630,1,0
3.98,10,10,10,630,560,540,2,1
1.52,8,8,7,650,550,460,1,0
2.82,10,10,9,610,540,490,2,0
3.09,10,10,10,670,330,540,1,1
3.79,9,10,10,550,580,560,2,1
3.2,9,10,9,580,490,420,2,1
3.62,10,10,10,720,620,570,1,1
1.74,10,9,6,780,540,620,1,0
2.02,7,5,6,660,520,600,1,0
2.29,10,10,10,690,750,680,1,0
3.13,10,10,9,660,620,590,2,1
2.96,8,9,6,660,670,750,1,0
4,10,10,10,640,620,620,2,1
2.89,8,7,8,620,610,570,1,0
3.95,10,10,10,770,780,760,1,1
1.71,10,10,8,800,750,650,1,0
3.23,8,8,8,650,590,480,1,1
2.07,8,8,8,570,560,560,1,0
1.29,2,6,8,480,490,650,2,0
4,10,10,10,630,630,620,2,1
2.94,9,10,10,490,510,490,1,0
3.89,10,10,10,680,730,740,1,1
3.34,7,7,6,700,420,460,1,1
3.52,9,10,8,740,740,620,1,1
3.75,10,10,10,650,690,670,1,1
3.55,6,7,5,630,420,400,1,1
3.46,8,9,9,590,600,560,2,1
2.02,7,9,8,690,690,640,1,0
1.56,8,5,6,650,600,510,1,0
3.97,10,10,10,730,660,660,1,1
1.36,8,10,10,590,560,510,1,0
4,10,10,10,630,580,490,1,1
3.31,10,10,9,600,570,510,1,1
2.28,8,9,8,590,400,480,1,0
3.65,8,9,9,680,650,650,1,1
2.34,10,10,9,660,530,610,1,0
2.06,8,9,9,650,550,570,2,0
3.25,9,7,8,640,540,540,1,1
3.45,10,10,10,600,570,530,1,1
2.31,9,7,7,580,530,510,1,0
4,10,10,9,630,570,630,1,1
2.5,10,9,7,620,550,430,1,0
3.08,8,8,8,620,560,490,2,1
3.38,10,9,10,670,690,550,1,1
2.69,8,6,6,550,510,460,1,0
3.64,9,9,9,600,590,590,2,1
3.26,10,10,10,510,450,470,2,1
1.49,8,9,9,500,540,530,2,0
2.93,8,4,4,550,480,470,1,0
2.92,7,9,8,740,600,640,1,0
3.99,10,10,10,750,610,640,1,1
3.27,8,10,9,480,450,560,2,1
3.05,9,9,10,700,560,550,1,1
3.36,8,10,9,520,490,470,2,1
0.03,5,7,8,460,450,500,1,0
2.57,7,9,8,520,550,570,2,0
3.33,7,8,7,610,450,480,2,1
3.06,8,9,10,630,560,650,2,1
2.39,6,8,9,620,530,480,1,0
2.21,8,10,10,500,510,590,2,0
2.99,10,10,10,580,480,530,2,0
4,10,10,10,760,650,630,1,1
1.2,8,7,7,520,480,560,1,0
3.28,9,10,9,610,540,460,1,1
3.87,10,10,10,690,580,570,1,1
2.52,8,8,8,510,480,460,2,0
3.32,9,9,9,580,490,480,1,1
1.02,9,9,7,560,560,560,2,0
2.91,6,9,10,580,700,640,2,0
2.14,10,10,10,700,650,640,1,0
2.5,10,10,10,520,480,440,1,0
3.36,10,9,10,640,580,630,1,1
3.51,7,9,8,650,640,640,1,1
2.36,6,5,8,540,520,520,2,0
1.87,6,7,8,700,580,560,1,0
3.45,10,10,10,770,760,730,1,1
2.96,8,7,9,500,540,610,2,0
3.24,6,7,8,660,640,610,2,1
3.32,9,9,10,730,640,670,1,1
3.71,10,10,10,710,760,660,2,1
3.18,9,10,10,620,620,550,2,1
3.59,10,9,10,690,580,560,1,1
2.93,8,9,9,490,530,550,2,0
3.93,9,10,10,690,740,670,2,1
1.41,8,8,9,690,410,460,1,0
1.9,6,7,7,540,720,650,1,0
3.45,10,10,9,640,670,600,2,1
3.06,9,10,9,590,450,460,1,1
1.85,8,8,8,570,520,520,1,0
3.13,9,10,10,550,530,520,1,1
1.81,7,7,7,550,510,490,1,0
2.38,9,6,8,640,580,640,2,0
2.45,9,10,9,720,670,700,1,0
