Culture,id,Emotion
EuropeanAm,1,5.98
EuropeanAm,2,4.95
EuropeanAm,3,2.80
EuropeanAm,4,4.10
EuropeanAm,5,4.49
EuropeanAm,6,3.86
EuropeanAm,7,3.99
EuropeanAm,8,4.62
EuropeanAm,9,2.94
EuropeanAm,10,5.08
EuropeanAm,11,2.32
EuropeanAm,12,4.94
EuropeanAm,13,4.60
EuropeanAm,14,5.29
EuropeanAm,15,4.22
EuropeanAm,16,3.37
EuropeanAm,17,5.95
EuropeanAm,18,3.65
EuropeanAm,19,4.06
EuropeanAm,20,4.94
EuropeanAm,21,3.29
EuropeanAm,22,5.17
EuropeanAm,23,6.69
EuropeanAm,24,4.70
EuropeanAm,25,4.06
EuropeanAm,26,3.20
EuropeanAm,27,4.02
EuropeanAm,28,5.63
EuropeanAm,29,4.91
EuropeanAm,30,4.02
EuropeanAm,31,3.66
EuropeanAm,32,2.08
EuropeanAm,33,6.13
EuropeanAm,34,4.17
EuropeanAm,35,3.89
EuropeanAm,36,5.51
EuropeanAm,37,4.76
EuropeanAm,38,5.35
EuropeanAm,39,2.98
EuropeanAm,40,4.86
EuropeanAm,41,5.15
EuropeanAm,42,5.50
EuropeanAm,43,5.05
EuropeanAm,44,2.88
EuropeanAm,45,4.25
EuropeanAm,46,3.89
AsianAm,47,4.62
AsianAm,48,4.54
AsianAm,49,4.58
AsianAm,50,6.87
AsianAm,51,5.03
AsianAm,52,5.10
AsianAm,53,3.82
AsianAm,54,3.74
AsianAm,55,3.84
AsianAm,56,6.48
AsianAm,57,4.28
AsianAm,58,5.44
AsianAm,59,5.78
AsianAm,60,2.98
AsianAm,61,3.49
AsianAm,62,2.13
AsianAm,63,1.73
AsianAm,64,5.31
AsianAm,65,4.08
AsianAm,66,3.74
AsianAm,67,5.81
AsianAm,68,3.68
AsianAm,69,6.07
AsianAm,70,4.28
AsianAm,71,2.51
AsianAm,72,4.97
AsianAm,73,3.20
AsianAm,74,4.75
AsianAm,75,4.90
AsianAm,76,3.84
AsianAm,77,3.71
AsianAm,78,3.54
AsianAm,79,4.70
Japanese,80,6.43
Japanese,81,2.69
Japanese,82,3.60
Japanese,83,3.16
Japanese,84,5.93
Japanese,85,3.23
Japanese,86,2.84
Japanese,87,3.07
Japanese,88,6.09
Japanese,89,4.13
Japanese,90,5.53
Japanese,91,6.11
Japanese,92,4.02
Japanese,93,4.98
Japanese,94,5.54
Japanese,95,3.34
Japanese,96,6.45
Japanese,97,4.53
Japanese,98,6.80
Japanese,99,6.34
Japanese,100,3.63
Japanese,101,4.71
Japanese,102,3.20
Japanese,103,5.91
Japanese,104,5.88
Japanese,105,3.73
Japanese,106,6.12
Japanese,107,3.74
Japanese,108,4.18
Japanese,109,5.07
Japanese,110,2.59
Japanese,111,5.21
Japanese,112,4.93
Japanese,113,3.32
Japanese,114,3.15
Japanese,115,4.13
Japanese,116,4.14
Japanese,117,5.46
Japanese,118,4.27
Japanese,119,4.33
Japanese,120,3.66
Japanese,121,3.97
Japanese,122,5.85
Japanese,123,3.37
Japanese,124,3.54
Japanese,125,4.62
Japanese,126,3.96
Japanese,127,5.83
Japanese,128,5.19
Japanese,129,3.13
Japanese,130,4.46
Japanese,131,5.15
Japanese,132,5.21
Japanese,133,6.10
Japanese,134,5.88
Japanese,135,5.95
Japanese,136,4.11
Japanese,137,4.12
Japanese,138,5.16
Japanese,139,3.85
Japanese,140,5.55
Japanese,141,5.54
Japanese,142,6.37
Japanese,143,3.42
Japanese,144,5.13
Japanese,145,3.06
Japanese,146,4.93
Japanese,147,4.76
Japanese,148,4.79
Japanese,149,4.25
Japanese,150,5.75
Japanese,151,5.08
Japanese,152,6.96
Japanese,153,5.35
Japanese,154,3.63
Japanese,155,5.45
Japanese,156,5.74
Japanese,157,5.74
Japanese,158,2.98
Japanese,159,6.76
Japanese,160,3.05
Japanese,161,5.88
Japanese,162,3.76
Japanese,163,4.54
Japanese,164,5.17
Japanese,165,5.00
Japanese,166,4.03
Japanese,167,5.10
Japanese,168,6.74
Japanese,169,5.24
Japanese,170,4.12
Indian,171,3.88
Indian,172,3.97
Indian,173,1.93
Indian,174,5.34
Indian,175,5.89
Indian,176,3.85
Indian,177,3.80
Indian,178,2.21
Indian,179,6.27
Indian,180,6.11
Indian,181,4.29
Indian,182,4.81
Indian,183,4.15
Indian,184,3.03
Indian,185,2.66
Indian,186,5.84
Indian,187,3.58
Indian,188,3.07
Indian,189,5.32
Indian,190,0.92
Indian,191,3.95
Indian,192,5.65
Indian,193,3.76
Indian,194,3.82
Indian,195,5.50
Indian,196,4.27
Indian,197,3.22
Indian,198,2.54
Indian,199,3.09
Indian,200,5.48
Indian,201,4.57
Indian,202,2.50
Indian,203,5.86
Indian,204,6.14
Indian,205,6.17
Indian,206,5.50
Indian,207,1.95
Indian,208,4.43
Indian,209,5.28
Indian,210,4.94
Indian,211,5.20
Indian,212,2.33
Indian,213,2.50
Indian,214,2.00
Indian,215,4.19
Indian,216,3.32
Indian,217,5.12
Indian,218,5.88
Indian,219,3.11
Indian,220,5.16
Indian,221,3.40
Indian,222,4.97
Indian,223,4.70
Indian,224,4.72
Indian,225,5.40
Indian,226,3.25
Indian,227,3.84
Indian,228,6.17
Indian,229,5.39
Indian,230,4.90
Indian,231,3.30
Indian,232,3.13
Indian,233,5.56
Indian,234,3.73
Indian,235,5.29
Indian,236,3.76
Indian,237,3.58
Indian,238,5.35
Indian,239,4.57
Indian,240,3.93
Indian,241,5.11
Indian,242,4.49
Indian,243,6.96
Indian,244,4.94
Indian,245,5.38
Indian,246,3.17
Indian,247,4.28
Indian,248,6.43
Indian,249,6.29
Indian,250,5.26
Indian,251,5.96
Indian,252,5.88
Indian,253,5.43
Indian,254,2.33
Indian,255,4.22
Indian,256,2.58
Indian,257,5.39
Indian,258,6.08
Indian,259,2.84
Indian,260,4.02
Indian,261,5.12
Indian,262,3.98
Indian,263,4.63
Indian,264,-0.35
Indian,265,4.93
Indian,266,4.37
Indian,267,5.80
Indian,268,4.53
Indian,269,6.01
Indian,270,4.74
Indian,271,4.73
Indian,272,3.77
Indian,273,3.84
Indian,274,4.90
Indian,275,5.53
Indian,276,4.50
Indian,277,4.93
Indian,278,3.53
Indian,279,3.81
Indian,280,4.14
Indian,281,4.25
Indian,282,4.34
Indian,283,5.13
Indian,284,3.70
Indian,285,5.31
Indian,286,4.25
Indian,287,4.76
Indian,288,3.27
Indian,289,2.82
Indian,290,2.45
Indian,291,4.88
Indian,292,4.82
Indian,293,4.14
Indian,294,2.46
Indian,295,4.65
Indian,296,3.69
Indian,297,2.90
Indian,298,4.77
Indian,299,5.34
Indian,300,5.86
Indian,301,4.12
Indian,302,4.79
Indian,303,5.50
Indian,304,2.86
Indian,305,2.80
Indian,306,5.75
Indian,307,4.25
Indian,308,4.68
Indian,309,5.71
Indian,310,6.59
Indian,311,4.22
Indian,312,3.97
Indian,313,3.60
Indian,314,5.35
Indian,315,3.14
Indian,316,2.65
Indian,317,1.50
Indian,318,4.85
Indian,319,4.11
Indian,320,4.54
Indian,321,5.85
Indian,322,3.85
Indian,323,2.62
Indian,324,6.60
Indian,325,3.06
Indian,326,4.68
Indian,327,6.69
Indian,328,4.10
Indian,329,2.91
Indian,330,3.52
HispanicAm,331,7.00
HispanicAm,332,4.56
HispanicAm,333,5.51
HispanicAm,334,5.25
HispanicAm,335,5.64
HispanicAm,336,4.68
HispanicAm,337,4.30
HispanicAm,338,7.00
HispanicAm,339,4.86
HispanicAm,340,4.45
HispanicAm,341,3.81
HispanicAm,342,6.56
HispanicAm,343,5.21
HispanicAm,344,4.99
HispanicAm,345,4.55
HispanicAm,346,4.34
HispanicAm,347,6.14
HispanicAm,348,4.59
HispanicAm,349,6.55
HispanicAm,350,4.53
HispanicAm,351,5.65
HispanicAm,352,5.64
HispanicAm,353,5.12
HispanicAm,354,4.66
HispanicAm,355,4.54
HispanicAm,356,4.74
HispanicAm,357,3.04
HispanicAm,358,3.70
HispanicAm,359,4.79
HispanicAm,360,5.07
HispanicAm,361,4.40
HispanicAm,362,5.63
HispanicAm,363,5.72
HispanicAm,364,4.12
HispanicAm,365,4.15
HispanicAm,366,4.07
HispanicAm,367,5.03
HispanicAm,368,5.45
HispanicAm,369,2.97
HispanicAm,370,4.84
HispanicAm,371,4.52
HispanicAm,372,5.56
HispanicAm,373,5.89
HispanicAm,374,4.17
HispanicAm,375,2.49
HispanicAm,376,3.17
HispanicAm,377,6.65
HispanicAm,378,6.95
HispanicAm,379,5.06
HispanicAm,380,5.09
HispanicAm,381,4.73
HispanicAm,382,7.00
HispanicAm,383,4.91
HispanicAm,384,5.33
HispanicAm,385,3.87
HispanicAm,386,2.87
HispanicAm,387,4.21
HispanicAm,388,3.34
HispanicAm,389,6.31
HispanicAm,390,7.00
HispanicAm,391,5.25
HispanicAm,392,3.99
HispanicAm,393,6.63
HispanicAm,394,7.00
HispanicAm,395,3.78
HispanicAm,396,2.38
HispanicAm,397,6.95
HispanicAm,398,5.41
HispanicAm,399,5.12
HispanicAm,400,6.94
HispanicAm,401,5.23
HispanicAm,402,4.63
HispanicAm,403,4.18
HispanicAm,404,3.39
HispanicAm,405,5.67
HispanicAm,406,5.62
HispanicAm,407,6.62
HispanicAm,408,4.94
HispanicAm,409,7.00
HispanicAm,410,5.24
