writer,agedeath,group
1,57,novels
1,90,novels
1,67,novels
1,56,novels
1,90,novels
1,72,novels
1,56,novels
1,90,novels
1,80,novels
1,74,novels
1,73,novels
1,86,novels
1,53,novels
1,72,novels
1,86,novels
1,82,novels
1,74,novels
1,60,novels
1,79,novels
1,80,novels
1,79,novels
1,77,novels
1,64,novels
1,72,novels
1,88,novels
1,75,novels
1,79,novels
1,74,novels
1,85,novels
1,71,novels
1,78,novels
1,57,novels
1,54,novels
1,50,novels
1,59,novels
1,72,novels
1,60,novels
1,77,novels
1,50,novels
1,49,novels
1,73,novels
1,39,novels
1,73,novels
1,61,novels
1,90,novels
1,77,novels
1,57,novels
1,72,novels
1,82,novels
1,54,novels
1,62,novels
1,74,novels
1,65,novels
1,83,novels
1,86,novels
1,73,novels
1,79,novels
1,63,novels
1,72,novels
1,85,novels
1,91,novels
1,77,novels
1,66,novels
1,75,novels
1,90,novels
1,35,novels
1,86,novels
2,88,poems
2,69,poems
2,78,poems
2,68,poems
2,72,poems
2,60,poems
2,50,poems
2,47,poems
2,74,poems
2,36,poems
2,87,poems
2,55,poems
2,68,poems
2,75,poems
2,78,poems
2,85,poems
2,69,poems
2,38,poems
2,58,poems
2,51,poems
2,72,poems
2,58,poems
2,84,poems
2,30,poems
2,79,poems
2,90,poems
2,66,poems
2,45,poems
2,70,poems
2,48,poems
2,31,poems
2,43,poems
4,74,nonf
4,86,nonf
4,87,nonf
4,68,nonf
4,76,nonf
4,73,nonf
4,63,nonf
4,78,nonf
4,83,nonf
4,86,nonf
4,40,nonf
4,75,nonf
4,90,nonf
4,47,nonf
4,91,nonf
4,94,nonf
4,61,nonf
4,83,nonf
4,75,nonf
4,89,nonf
4,77,nonf
4,86,nonf
4,66,nonf
4,97,nonf
