Company,RepairTime
ILEC,1
ILEC,1
ILEC,1
ILEC,1
ILEC,2
ILEC,2
ILEC,1
ILEC,1
ILEC,1
ILEC,1
ILEC,2
ILEC,2
ILEC,1
ILEC,1
ILEC,1
ILEC,1
ILEC,2
ILEC,2
ILEC,1
ILEC,1
ILEC,1
ILEC,1
ILEC,2
ILEC,3
ILEC,1
ILEC,1
ILEC,1
ILEC,1
ILEC,2
ILEC,3
ILEC,1
ILEC,1
ILEC,1
ILEC,1
ILEC,2
ILEC,3
ILEC,1
ILEC,1
ILEC,1
ILEC,1
ILEC,2
ILEC,3
ILEC,1
ILEC,1
ILEC,1
ILEC,1
ILEC,2
ILEC,3
ILEC,1
ILEC,1
ILEC,1
ILEC,1
ILEC,2
ILEC,3
ILEC,1
ILEC,1
ILEC,1
ILEC,1
ILEC,2
ILEC,4
ILEC,1
ILEC,1
ILEC,1
ILEC,1
ILEC,2
ILEC,5
ILEC,1
ILEC,1
ILEC,1
ILEC,1
ILEC,2
ILEC,5
ILEC,1
ILEC,1
ILEC,1
ILEC,1
ILEC,2
ILEC,6
ILEC,1
ILEC,1
ILEC,1
ILEC,1
ILEC,2
ILEC,8
ILEC,1
ILEC,1
ILEC,1
ILEC,1
ILEC,2
ILEC,15
ILEC,1
ILEC,1
ILEC,1
ILEC,2
ILEC,2
CLEC,1
CLEC,1
CLEC,5
CLEC,5
CLEC,5
CLEC,1
CLEC,5
CLEC,5
CLEC,5
CLEC,5
