State,Spending,Population
Alabama,14.9,4.9
Alaska,3.8,0.7
Arizona,14.8,6.8
Arkansas,8.5,3.0
California,110.7,39.2
Colorado,14.3,5.4
Connecticut,13.1,3.6
Delaware,4.0,0.9
Florida,40.1,20.2
Georgia,26.4,10.2
Hawaii,3.3,1.4
Idaho,3.4,1.7
Illinois,38.0,12.9
Indiana,17.5,6.6
Iowa,10.8,3.1
Kansas,8.6,2.9
Kentucky,12.8,4.4
Louisiana,13.1,4.7
Maine,4.2,1.3
Maryland,18.6,6.0
Massachusetts,21.2,6.8
Michigan,24.0,9.9
Minnesota,17.7,5.5
Mississippi,8.1,3.0
Missouri,16.3,6.1
Montana,2.7,1.0
Nebraska,6.5,1.9
Nevada,5.7,2.9
New Hampshire,4.2,1.3
New Jersey,36.6,9.0
New Mexico,6.6,2.1
New York,74.3,19.8
North Carolina,30.2,10.0
North Dakota,3.0,0.8
Ohio,32.1,11.6
Oklahoma,10.8,3.9
Oregon,11.3,4.0
Pennsylvania,37.5,12.8
Rhode Island,3.5,1.1
South Carolina,10.8,4.9
South Dakota,2.1,0.9
Tennessee,15.9,6.6
Texas,89.4,27.4
Utah,10.0,3.0
Vermont,2.5,0.6
Virginia,24.9,8.4
Washington,21.2,7.2
West Virginia,6.0,1.8
Wisconsin,18.9,5.8
Wyoming,2.7,0.6
