sample,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,mean,stdev
1,6835,5843,6019,6731,6362,5696,7193,6206,6360.6,521.7
2,6452,6764,7083,7352,5239,6911,7479,5549,6603.6,817.1
3,7205,6374,6198,6170,6482,4763,7125,6241,6319.8,749.1
4,6021,6347,7210,6384,6807,5711,7952,6023,6556.9,736.5
5,7000,6495,6893,6127,7417,7044,6159,6091,6653.2,503.7
6,7783,6224,5051,7288,6584,7521,6146,5129,6465.8,1034.3
7,8794,6279,6877,5807,6076,6392,7429,5220,6609.2,1104
8,4727,8117,6586,6225,6150,7386,5674,6740,6450.6,1033
9,5408,7452,6686,6428,6425,7380,5789,6264,6479,704.7
10,5598,7489,6186,5837,6769,5471,5658,6393,6175.1,690.5
11,6559,5855,4928,5897,7532,5663,4746,7879,6132.4,1128.6
12,6824,7320,5331,6204,6027,5987,6033,6177,6237.9,596.6
13,6503,8213,5417,6360,6711,6907,6625,7888,6828,879.8
14,5622,6321,6325,6634,5075,6209,4832,6386,5925.5,667.8
15,6269,6756,7653,6065,5835,7337,6615,8181,6838.9,819.5
