day,obs1,obs2,mean,stdev
1,1.261,1.260,1.2605,0.000707
2,1.261,1.268,1.2645,0.004950
3,1.258,1.261,1.2595,0.002121
4,1.261,1.262,1.2615,0.000707
5,1.259,1.262,1.2605,0.002121
6,1.269,1.260,1.2645,0.006364
7,1.262,1.263,1.2625,0.000707
8,1.264,1.268,1.2660,0.002828
9,1.258,1.260,1.2590,0.001414
10,1.264,1.265,1.2645,0.000707
11,1.264,1.259,1.2615,0.003536
12,1.260,1.266,1.2630,0.004243
13,1.267,1.266,1.2665,0.000707
14,1.264,1.260,1.2620,0.002828
15,1.266,1.259,1.2625,0.004950
16,1.257,1.266,1.2615,0.006364
17,1.257,1.266,1.2615,0.006364
18,1.260,1.265,1.2625,0.003536
19,1.262,1.266,1.2640,0.002828
20,1.265,1.266,1.2655,0.000707
21,1.264,1.257,1.2605,0.004950
22,1.260,1.257,1.2585,0.002121
23,1.255,1.260,1.2575,0.003536
24,1.257,1.259,1.2580,0.001414
25,1.265,1.260,1.2625,0.003536
26,1.261,1.264,1.2625,0.002121
27,1.261,1.264,1.2625,0.002121
28,1.260,1.262,1.2610,0.001414
29,1.260,1.256,1.2580,0.002828
30,1.260,1.262,1.2610,0.001414
