CaIntake,CaRetention,LogRet
629.2,364.1,5.897428555
672.7,232.4,5.448460025
673.8,249.2,5.518255787
674.4,108.8,4.689511334
725.2,276.2,5.621125241
755.7,342.6,5.836563586
776.7,334.8,5.813533339
814.9,214.2,5.366910158
832.5,169.3,5.131672289
867.9,435.9,6.077412859
868.2,325,5.783825182
883.6,463.4,6.138590612
883.6,311.4,5.741078259
891.8,491.4,6.19725846
895.4,492,6.198478716
900.7,420.7,6.041919991
901.5,379.7,5.939381467
915.3,394.2,5.976858395
924.4,360.2,5.886659433
1008.4,518.4,6.250747145
1058,408.9,6.013470627
1073.7,384.2,5.95116325
1124.9,286.7,5.658436373
1129.6,561.9,6.331323898
1177.8,378.4,5.935951837
1199,658.6,6.49011637
1219.8,532.6,6.277770673
1274.4,395.5,5.980150787
1286.2,661.8,6.494963395
1315.3,158.9,5.068275074
1320.3,299.4,5.701780472
1328.8,385.1,5.953503041
1409.8,924.1,6.828820291
1410.8,532.4,6.277395087
1414,645.7,6.470335
1435.1,440.6,6.088137434
1436.1,617,6.424869024
1458.4,491.8,6.19807213
1461.8,876.1,6.77548024
1480.3,345.3,5.844413604
1483,357.5,5.879135362
1500.7,814.9,6.703065406
1514,785.2,6.665938462
1514.9,770.6,6.647169432
1514.9,529.5,6.271933165
1515.3,518,6.249975242
1521.3,783.7,6.664026294
1533,580.7,6.364234272
1601.5,620,6.429719478
1662.8,519,6.251903883
1666.9,307,5.726847748
1715,592.6,6.384519635
1777.7,640,6.461468176
1792,735.1,6.600006544
1816.3,344.6,5.842384324
1834.8,581.7,6.365954851
