Country_Name,CountryCode,BirthRate2011,UsersPreviousYear,Users,LogBirth,LogUsers
Aruba,ABW,11.323,42,57.06835805,2.426836055,4.044249813
Angola,AGO,40.838,10,14.776,3.709613021,2.693004243
Albania,ALB,12.748,45,49,2.545374397,3.891820298
United Arab Emirates,ARE,12.755,68,70,2.545923352,4.248495242
Argentina,ARG,17.006,40,47.704,2.833566223,3.865015252
Burundi,BDI,33.722,1,1.11,3.518150443,0.104360015
Benin,BEN,39.073,3.13,3.5,3.665431691,1.252762968
Burkina Faso,BFA,42.914,2.4,3,3.759198113,1.098612289
Bangladesh,BGD,19.966,3.7,5,2.994030827,1.609437912
Bahrain,BHR,18.943,55,77,2.94143447,4.343805422
"Bahamas, The",BHS,15.366,43,65,2.732157276,4.17438727
Bosnia and Herzegovina,BIH,8.405,52,60,2.128826767,4.094344562
Bolivia,BOL,26.146,22.4,30,3.263696215,3.401197382
Brazil,BRA,15.215,40.65,45,2.722281783,3.80666249
Barbados,BRB,10.859,70.2,71.7657,2.384994229,4.273406646
Brunei Darussalam,BRN,18.796,53,56,2.933644081,4.025351691
Bhutan,BTN,20.06,13.6,21,2.998727783,3.044522438
Botswana,BWA,23.288,6,7,3.147938206,1.945910149
Central African Republic,CAF,34.727,2,2.2,3.547517482,0.78845736
Chile,CHL,14.21,45,53.8938,2.653945942,3.987015443
Cote d'Ivoire,CIV,33.553,2.1,2.2,3.513126278,0.78845736
Cameroon,CMR,35.703,4.3,5,3.575234719,1.609437912
"Congo, Dem. Rep.",COD,42.904,0.72,1.2,3.758965062,0.182321557
"Congo, Rep.",COG,35.035,5,5.6,3.556347562,1.722766598
Colombia,COL,19.404,36.5,40.4,2.96547923,3.698829785
Cape Verde,CPV,20.31,30,32,3.011113376,3.465735903
Costa Rica,CRI,15.505,36.5,42.12,2.741162553,3.740522687
Cuba,CUB,9.739,15.9,23.23,2.276138443,3.145444547
Cyprus,CYP,11.581,52.99,57.68,2.449365824,4.054910493
Djibouti,DJI,28.703,6.5,7,3.357001647,1.945910149
Dominican Republic,DOM,21.437,31.4,35.5,3.065118401,3.569532696
Algeria,DZA,19.811,12.5,14,2.986237339,2.63905733
Ecuador,ECU,20.309,29.03,31.4,3.011064138,3.446807893
"Egypt, Arab Rep.",EGY,22.835,30.2,35.62,3.128294447,3.572907278
Eritrea,ERI,35.514,5.4,6.2,3.569926985,1.824549292
Ethiopia,ETH,30.777,0.75,1.1,3.426767658,0.09531018
Fiji,FJI,21.19,20,28,3.053529372,3.33220451
Gabon,GAB,27.051,7.23,8,3.297723973,2.079441542
Ghana,GHA,31.069,9.55,14.11,3.436210537,2.646883766
Guinea,GIN,38.376,1,1.3,3.647432264,0.262364264
"Gambia, The",GMB,37.591,9.2,10.8703,3.62676466,2.3860343
Guinea-Bissau,GNB,37.948,2.45,2.672,3.636216802,0.982827256
Guatemala,GTM,31.975,10.5,11.7274,3.464954347,2.461927984
Guyana,GUY,17.806,29.9,32,2.879535479,3.465735903
Honduras,HND,26.327,11.09,15.9,3.270595029,2.766319109
Indonesia,IDN,17.866,10.92,18,2.882899465,2.890371758
India,IND,21.82,7.5,10.07,3.08282698,2.309560707
Kenya,KEN,37.357,14,28,3.62052031,3.33220451
Cambodia,KHM,22.129,1.26,3.1,3.096888966,1.131402111
Lao PDR,LAO,22.321,7,9,3.105527939,2.197224577
Lebanon,LBN,15.16,43.68,52,2.71866038,3.951243719
Liberia,LBR,38.512,2.3,3,3.650969881,1.098612289
Libya,LBY,22.575,14,16.9981,3.116843099,2.833101573
St. Lucia,LCA,12.8,40.06137931,42.0105,2.549445171,3.737919587
Lesotho,LSO,27.515,3.86,4.2248,3.314731311,1.440971922
"Macao SAR, China",MAC,9.895,53.8,58,2.292029579,4.060443011
Morocco,MAR,19.21,49,51,2.955430977,3.931825633
Moldova,MDA,12.266,32.3981406,37.84906772,2.506831207,3.633606349
Madagascar,MDG,34.958,1.7,1.9,3.554147341,0.641853886
Maldives,MDV,16.634,28.3,34,2.811448793,3.526360525
"Macedonia, FYR",MKD,10.643,51.9,56.7,2.364902399,4.037774211
Mali,MLI,45.867,1.9,2,3.825745904,0.693147181
Myanmar,MMR,17.033,0.25,0.98,2.835152639,-0.020202707
Montenegro,MNE,12.154,37.5,40,2.497658334,3.688879454
Mongolia,MNG,23.333,12.9,20,3.149868668,2.995732274
Mozambique,MOZ,37.105,4.17,4.3,3.613751731,1.458615023
Mauritania,MRT,33.324,4,4.5,3.506277858,1.504077397
Mauritius,MUS,11.5,28.73358822,35.50825383,2.442347035,3.569765172
Malawi,MWI,44.407,2.26,3.33,3.793397115,1.202972304
Malaysia,MYS,20.036,56.3,61,2.997530655,4.110873864
Namibia,NAM,25.839,11.6,12,3.251884978,2.48490665
