ModelYear,MANUFACTURER,MODEL,VEHICLE_CLASS,ENGINE_SIZE_L_,CYLINDERS,TRANSMISSION,FUEL,FuelConsCity,FuelConsHwy,CityMPG,HwyMPG,Fuel,CO2
2014,BUICK,ENCLAVE,SUV - STAND,3.6,6,A6,X,12.7,8.4,22,34,2160,248
2014,BUICK,ENCLAVE AWD,SUV - STAND,3.6,6,A6,X,13,8.6,22,33,2200,253
2014,BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,X,8.2,6,34,47,1440,166
2014,BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,X,8.9,6.7,32,42,1580,182
2014,BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,X,12.2,7.3,23,39,2000,230
2014,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,X,12.2,7.5,23,38,2020,232
2014,BUICK,LACROSSE eAS,MID-SIZE,2.4,4,AS6,X,8.3,5.4,34,52,1400,161
2014,BUICK,REGAL eASSIS,MID-SIZE,2.4,4,AS6,X,8.3,5.4,34,52,1400,161
2014,BUICK,VERANO,COMPACT,2.4,4,AS6,X,9.9,6.2,29,46,1660,191
2014,CADILLAC,ATS,COMPACT,2.5,4,AS6,X,9.2,6,31,47,1560,179
2014,CADILLAC,ATS,COMPACT,3.6,6,AS6,X,11.3,7.1,25,40,1880,216
2014,CADILLAC,ATS AWD,COMPACT,3.6,6,AS6,X,11.6,7.6,24,37,1960,225
2014,CADILLAC,CTS COUPE,MID-SIZE,3.6,6,AS6,X,11.7,7.3,24,39,1940,223
2014,CADILLAC,CTS COUPE AW,MID-SIZE,3.6,6,AS6,X,11.8,7.6,24,37,1980,228
2014,CADILLAC,CTS SEDAN,MID-SIZE,3.6,6,AS8,X,11.4,6.9,25,41,1880,216
2014,CADILLAC,CTS SEDAN AW,MID-SIZE,3.6,6,AS6,X,11.6,7.6,24,37,1960,225
2014,CADILLAC,CTS SPORT WA,STATION WAG,3,6,AS6,X,11.2,7.5,25,38,1900,218
2014,CADILLAC,CTS SPORT WA,STATION WAG,3.6,6,AS6,X,11.8,7.5,24,38,1960,225
2014,CADILLAC,CTS SPORT WA,STATION WAG,3,6,AS6,X,11.3,7.7,25,37,1940,223
2014,CADILLAC,CTS SPORT WA,STATION WAG,3.6,6,AS6,X,11.8,7.6,24,37,1980,228
2014,CADILLAC,SRX,SUV - STAND,3.6,6,AS6,X,12.7,8.3,22,34,2140,246
2014,CADILLAC,SRX AWD,SUV - STAND,3.6,6,AS6,X,13.2,8.8,21,32,2240,258
2014,CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,X,12.1,7.2,23,39,1980,228
2014,CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,X,12.5,7.7,23,37,2060,237
2014,CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,X,11.7,7.3,24,39,1940,223
2014,CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,12.6,7.2,22,39,2040,235
2014,CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,AS6,X,11.2,6.6,25,43,1820,209
2014,CHEVROLET,CRUZE,MID-SIZE,1.4,4,AS6,X,7.8,5.2,36,54,1320,152
2014,CHEVROLET,CRUZE,MID-SIZE,1.4,4,M6,X,7.8,5.2,36,54,1320,152
2014,CHEVROLET,CRUZE,MID-SIZE,1.8,4,AS6,X,9.2,5.6,31,50,1520,175
2014,CHEVROLET,CRUZE,MID-SIZE,1.8,4,M6,X,8.2,5.4,34,52,1380,159
2014,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,A6,X,7.8,5,36,56,1300,150
2014,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,M6,X,7.2,4.6,39,61,1200,138
2014,CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,A6,X,9.2,6.1,31,46,1560,179
2014,CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,X,12.4,8.1,23,35,2100,242
2014,CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,A6,X,10.1,6.9,28,41,1740,200
2014,CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,X,13.2,8.4,21,34,2200,253
2014,CHEVROLET,EXPRESS 1500,VAN - CARGO,4.3,6,A4,X,15.4,10.8,18,26,2660,306
2014,CHEVROLET,EXPRESS 1500,VAN - CARGO,5.3,8,A4,X,16.2,11.4,17,25,2820,324
2014,CHEVROLET,EXPRESS 1500,VAN - CARGO,5.3,8,A4,X,16.5,12.1,17,23,2900,334
2014,CHEVROLET,EXPRESS 1500,VAN - CARGO,5.3,8,A4,X,16.8,11.9,17,24,2920,336
2014,CHEVROLET,EXPRESS 1500,VAN - CARGO,5.3,8,A4,X,16.5,12.1,17,23,2900,334
2014,CHEVROLET,EXPRESS 1500,VAN - PASSE,5.3,8,A4,X,16.8,11.9,17,24,2920,336
2014,CHEVROLET,EXPRESS 1500,VAN - PASSE,5.3,8,A4,X,16.5,12.1,17,23,2900,334
2014,CHEVROLET,EXPRESS 2500,VAN - PASSE,4.8,8,A6,X,19.1,12.1,15,23,3200,368
2014,CHEVROLET,EXPRESS 2500,VAN - PASSE,6,8,A6,X,19.9,12.8,14,22,3340,384
2014,CHEVROLET,EXPRESS 3500,VAN - PASSE,4.8,8,A6,X,19.3,12.2,15,23,3220,370
2014,CHEVROLET,EXPRESS 3500,VAN - PASSE,6,8,A6,X,20.1,12.8,14,22,3360,386
2014,CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,X,9.9,6.3,29,45,1660,191
2014,CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,X,11.1,6.9,25,41,1840,212
2014,CHEVROLET,IMPALA ECO,FULL-SIZE,2.4,4,AS6,X,8.7,5.8,32,49,1480,170
2014,CHEVROLET,MALIBU,MID-SIZE,2.5,4,AS6,X,8,5.3,35,53,1360,156
2014,CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,AS6,X,10.8,7.2,26,39,1840,212
2014,CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,M6,X,10.4,7,27,40,1780,205
2014,CHEVROLET,SILVERADO,PICKUP TRUC,4.3,6,A6,X,11.9,8.4,24,34,2080,239
2014,CHEVROLET,SILVERADO,PICKUP TRUC,5.3,8,A6,X,13,8.7,22,32,2200,253
2014,CHEVROLET,SILVERADO 4W,PICKUP TRUC,4.3,6,A6,X,12.6,9,22,31,2200,253
2014,CHEVROLET,SILVERADO 4W,PICKUP TRUC,5.3,8,A6,X,13.3,9,21,31,2280,262
2014,CHEVROLET,SONIC,COMPACT,1.4,4,AS6,X,7.8,5.6,36,50,1360,156
2014,CHEVROLET,SONIC,COMPACT,1.4,4,M6,X,7.3,5.1,39,55,1260,145
2014,CHEVROLET,SONIC,COMPACT,1.8,4,AS6,X,8.3,5.5,34,51,1420,163
2014,CHEVROLET,SONIC,COMPACT,1.8,4,M5,X,7.7,5.6,37,50,1360,156
2014,CHEVROLET,SONIC 5,MID-SIZE,1.4,4,AS6,X,7.8,5.6,36,50,1360,156
2014,CHEVROLET,SONIC 5,MID-SIZE,1.4,4,M6,X,7.3,5.1,39,55,1260,145
2014,CHEVROLET,SONIC 5,MID-SIZE,1.8,4,AS6,X,8.3,5.5,34,51,1420,163
2014,CHEVROLET,SONIC 5,MID-SIZE,1.8,4,M5,X,7.7,5.6,37,50,1360,156
2014,CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,AS6,X,8.1,5.8,35,49,1420,163
2014,CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,M6,X,7.5,5.8,38,49,1340,154
2014,CHEVROLET,SONIC RS,COMPACT,1.4,4,AS6,X,8.1,5.8,35,49,1420,163
2014,CHEVROLET,SONIC RS,COMPACT,1.4,4,M6,X,7.5,5.8,38,49,1340,154
2014,CHEVROLET,SPARK,SUBCOMPACT,1.2,4,AV,X,6.5,5,43,56,1180,136
2014,CHEVROLET,SPARK,SUBCOMPACT,1.2,4,M5,X,6.4,5,44,56,1140,131
2014,CHEVROLET,SUBURBAN,SUV - STAND,5.3,8,A6,X,14.3,9.4,20,30,2420,278
2014,CHEVROLET,SUBURBAN 4WD,SUV - STAND,5.3,8,A6,X,14.3,9.4,20,30,2420,278
2014,CHEVROLET,TAHOE,SUV - STAND,5.3,8,A6,X,14.3,9.4,20,30,2420,278
2014,CHEVROLET,TAHOE 4WD,SUV - STAND,5.3,8,A6,X,14.3,9.4,20,30,2420,278
2014,CHEVROLET,TRAVERSE,SUV - STAND,3.6,6,A6,X,12.7,8.4,22,34,2160,248
2014,CHEVROLET,TRAVERSE AWD,SUV - STAND,3.6,6,A6,X,13,8.6,22,33,2200,253
2014,CHEVROLET,TRAX,SUV - SMALL,1.4,4,AS6,X,8.1,5.9,35,48,1420,163
2014,CHEVROLET,TRAX,SUV - SMALL,1.4,4,M6,X,7.8,5.7,36,50,1360,156
2014,CHEVROLET,TRAX AWD,SUV - SMALL,1.4,4,AS6,X,8.7,6.5,32,43,1540,177
2014,CHRYSLER,300,FULL-SIZE,3.6,6,A8,X,10.9,6.4,26,44,1780,205
