BEER,Brewery,Calories,Carbohydrates,Alcohol,Type
American Amber Lager,Straub Brewery,136,10.5,4.10,Domestic
American Lager,Straub Brewery,132,10.5,4.10,Domestic
American Light,Straub Brewery,96,7.6,3.20,Domestic
Anchor Steam,Anchor,153,16.0,4.90,Domestic
Anheuser Busch Natural Light,Anheuser Busch,95,3.2,4.20,Domestic
Anheuser Busch Natural Ice,Anheuser Busch,157,8.9,5.90,Domestic
Aspen Edge,Adolph Coors,94,2.6,4.10,Domestic
Bard's Gold (Gluten-Free),Bard's Tale Beer Co,155,14.2,4.60,Domestic
Big Sky Moose Drool Brown Ale,Big Sky Brewing,177,15.6,5.20,Domestic
Big Sky Scape Goat Pale Ale,Big Sky Brewing,163,13.9,4.70,Domestic
Big Sky Summer Honey Ale (seasonal),Big Sky Brewing,154,11.6,4.70,Domestic
Big Sky Trout Slayer Ale,Big Sky Brewing,163,13.9,4.70,Domestic
Blatz Beer,Blatz,153,12.5,4.80,Domestic
Blue Moon,Adolph Coors,171,13.7,5.40,Domestic
Breckenridge Brown Ale,Breckenridge Brewery,196,21.9,5.60,Domestic
Breckenridge Red Ale,Breckenridge Brewery,193,21.8,5.50,Domestic
Bud Dry,Budweiser,130,7.8,5.00,Domestic
Bud Ice,Budweiser,123,8.9,5.50,Domestic
Bud Ice Light,Budweiser,115,7.5,5.00,Domestic
Bud Light,Budweiser,110,6.6,4.20,Domestic
Bud Light Lime,Budweiser,116,8.0,4.20,Domestic
Bud Light Platinum,Budweiser,137,4.4,6.00,Domestic
Budweiser,Budweiser,145,10.6,5.00,Domestic
Budweiser Black Crown,Budweiser,146,10.0,6.00,Domestic
Budweiser Select,Budweiser,99,3.1,4.30,Domestic
Budweiser Select 55,Budweiser,55,1.9,2.40,Domestic
Busch Beer,Anheuser Busch,133,10.2,4.60,Domestic
Busch Ice,Anheuser Busch,169,12.5,5.90,Domestic
Busch Light,Anheuser Busch,95,3.2,4.10,Domestic
Carling Black Label,G. Heileman,138,12.5,4.30,Domestic
Colt 45 Malt Liquor,G. Heileman,174,11.1,6.10,Domestic
Coors,MillerCoors,149,12.2,4.91,Domestic
Coors Light,MillerCoors,104,5.3,4.15,Domestic
Deschutes Twilight Summer Ale,Deschutes Brewery,162,9.6,5.00,Domestic
Deschutes Chainbreaker White IPA,Deschutes Brewery,180,10.8,5.60,Domestic
Extra Gold Lager,MillerCoors,152,12.5,4.97,Domestic
Flying Dog Dog Schwarz,Flying Dog Brewery,222,14.3,7.80,Domestic
Flying Dog Doggie Style,Flying Dog Brewery,158,11.4,4.70,Domestic
Flying Dog DogtoberFest,Flying Dog Brewery,165,12.3,5.60,Domestic
Flying Dog Double Dog,Flying Dog Brewery,313,16.6,11.50,Domestic
Flying Dog Garde Dog,Flying Dog Brewery,150,9.3,5.50,Domestic
Flying Dog Gonzo,Flying Dog Brewery,271,18.9,9.20,Domestic
Flying Dog Horn Dog,Flying Dog Brewery,314,21.5,10.20,Domestic
Flying Dog In Heat Wheat,Flying Dog Brewery,138,10.4,4.70,Domestic
Flying Dog K-9 Cruiser,Flying Dog Brewery,197,10.6,7.40,Domestic
Flying Dog Kerberos Tripel,Flying Dog Brewery,238,8.6,8.30,Domestic
Flying Dog Old Scratch Amber Ale,Flying Dog Brewery,154,10.2,5.50,Domestic
Flying Dog Raging Bitch,Flying Dog Brewery,221,11.6,8.30,Domestic
Flying Dog Road Dog,Flying Dog Brewery,163,9.9,6.00,Domestic
Flying Dog Snake Dog IPA,Flying Dog Brewery,188,10.0,7.10,Domestic
Flying Dog Tire Bite Golden Ale,Flying Dog Brewery,129,6.2,5.10,Domestic
Flying Dog Wild Dog: Coffee Stout,Flying Dog Brewery,288,20.2,9.90,Domestic
Flying Dog Woody Creek White,Flying Dog Brewery,131,8.0,4.80,Domestic
Genesee Beer,High Falls Brewing,148,13.5,4.50,Domestic
Genesee Cream Ale,High Falls Brewing,162,15.0,5.10,Domestic
Genesee Ice,High Falls Brewing,156,14.5,5.90,Domestic
Genesee Red,High Falls Brewing,148,14.0,4.90,Domestic
George Killian's Irish Red,MillerCoors,162,14.8,4.98,Domestic
Icehouse,MillerCoors,132,8.7,5.50,Domestic
Icehouse 5.0,MillerCoors,149,9.8,5.50,Domestic
Icehouse Light,MillerCoors,103,5.5,4.13,Domestic
Hamm's Beer,MillerCoors,144,12.1,4.70,Domestic
Hamm's Golden Draft,MillerCoors,144,12.1,4.70,Domestic
Hamm's Special Light,MillerCoors,110,8.3,3.90,Domestic
Keystone Premium,Adolph Coors,111,5.8,4.43,Domestic
Keystone Light,Adolph Coors,103,5.0,4.13,Domestic
Keystone Ice,Adolph Coors,142,5.9,5.90,Domestic
Leinenkugel Honey Weiss,Leinenkugel,149,12.0,4.92,Domestic
Leinenkugel Northwoods Lager,Leinenkugel,163,15.3,4.94,Domestic
Leinenkugel Original,Leinenkugel,152,13.9,4.67,Domestic
Leinenkugel Creamy Dark,Leinenkugel,170,16.8,4.94,Domestic
Leinenkugel Red,Leinenkugel,166,16.2,4.94,Domestic
Leinenkugel Sunset Wheat,Leinenkugel,165,16.0,4.90,Domestic
Leinenkugel Light,Leinenkugel,105,5.7,4.19,Domestic
Leinenkugel Amber Light,Leinenkugel,110,7.4,4.14,Domestic
Magnum Malt Liquor,MillerCoors,157,11.2,5.60,Domestic
Michael Shea's,High Falls Brewing,145,13.0,4.62,Domestic
Michelob Amber Boch,Anheuser Busch,166,15.0,5.20,Domestic
Michelob Beer,Anheuser Busch,155,13.3,5.00,Domestic
Michelob Golden Draft,Anheuser Busch,152,14.1,4.70,Domestic
Michelob Golden Draft Light,Anheuser Busch,110,7.0,4.10,Domestic
Michelob Honey Lager,Anheuser Busch,175,17.9,4.90,Domestic
Michelob Light,Anheuser Busch,113,6.7,4.30,Domestic
Michelob Ultra,Anheuser Busch,95,2.6,4.10,Domestic
Mickey's Fine Malt Liquor,MillerCoors,157,11.2,5.60,Domestic
Mickey's Ice,MillerCoors,157,11.8,5.80,Domestic
Miller Chill,MillerCoors,110,6.5,4.20,Domestic
Miller Genuine Draft,MillerCoors,143,13.1,4.70,Domestic
Miller Genuine Draft Light,MillerCoors,110,7.0,4.20,Domestic
"Miller Genuine Draft ""64""",MillerCoors,64,2.4,2.80,Domestic
