Brand,Brewer (Country),Calories,Carbohydrates,Alcohol,Type
Amstel Light,Amstel Brouwerij B.V. (Holland),99,5.33,3.90,Imported
Asahi Draft Beer,Asahi (Japan),146,,5.00,Imported
Bass & Co's Pale Ale,Bass (England),160,,5.50,Imported
Beamish Irish Cream Stout,Beamish - Crawford (Ireland),146,,4.90,Imported
Beck's Beer,Brauerei Beck (Germany),143,10,5.00,Imported
Beck's Light,Brauerei Beck (Germany),64,3.9,2.30,Imported
Beck's Dark,Brauerei Beck (Germany),146,11,4.80,Imported
Cerveza Carta Blanca,Cerveceria Cauhtemoc (Mexico),128,,4.00,Imported
Cerveza Tecate Beer,Cervecerla Cauhtemoc (Mexico),146,,4.40,Imported
Chester Golden A]e,Greenall Whitley (England),156,,5.40,Imported
Corona Extra Beer,Cereveria Modela SA (Mexico),148,13.99,4.60,Imported
Dos Equis XX Imported Beer,Cauhtemoc (Mexico),149,,4.70,Imported
Dos Equis XX Special Lager,Cerveceria Montezuma (Mexico),156,,4.90,Imported
Dragon Stout,Desnoes - Goeddes (Jamaica),220,,6.80,Imported
Foster's Lager,Garlton & United (Australia),156,11,5.10,Imported
Furstenberg German Beer,Fustlich Ferstenbergische,138,,4.40,Imported
Great Wall,Green Bamboo (China),160,,4.60,Imported
Greenall's Cheshire English Pub Beer,Greenall Whitley PLC (England),142,,5.00,Imported
Grolsch Lager Beer,Grolsch Bierbrouweri (Holland),145,9.5,5.00,Imported
Guinness Extra Stout,Guinness (Ireland),153,17.4,4.27,Imported
Harp,Harp (Ireland),142,,4.55,Imported
Heineken Lager Beer,Heineken (Holland),150,11.5,5.00,Imported
Heineken Special Dark Beer,Heineken (Holland),170,,5.10,Imported
Heineken Special Light,Heineken (Holland),99,6.8,3.80,Imported
Kirin Beer,Kirin (Japan),188,,6.80,Imported
Kronenbourg Beer,Kronenbourg (France),153,,5.10,Imported
Kronenbourg Imported Dark Beer,Kronenbourg (France),163,,5.00,Imported
Labatt's 50,Labatt's,153,9.9,5.30,Imported
McEwans Scotch Ale,Scottish & Newcastle (Scotland),295,,9.50,Imported
Molson Canadian Beer,Molson (Canada),153,,5.10,Imported
Molson Golden Beer,Molson (Canada),170,,6.04,Imported
Molson Light,Molson (Canada),82,,2.41,Imported
Moosehead Canadian Lager Beer,Moosehead (Canada),153,,5.00,Imported
Nordik Wolf Light,A.B. Pripps Bryggerier (Sweden),110,,4.70,Imported
O'Keefe Canadian Beer,O'Keefe (Canada),142,,4.90,Imported
Pilsener Urquell,Beer Pilsener Urquell Pilzen (Czech.),160,14.7,4.20,Imported
Red Stripe Lager Beer,Desnoes & Geddes (Jamaica),153,,5.00,Imported
Samuel Smith's Organic Lager,Samuel Smith's Brewery,158,13.3,5.00,Imported
Sheaf Stout,Carlton & United (Australia),174,18.8,5.20,Imported
Sol Cerveza Especial,Cerveceria Montezuma (Mexico),131,,4.10,Imported
Spaten Munich Special Dark Beer,Spaten-Brau (Germany),185,,6.60,Imported
St. Pauli Girl Beer,St. Pauli (Germany),148,8.7,4.90,Imported
St. Pauli Girl Dark Beer,St. Pauli (Germany),150,,4.80,Imported
Suntory Draft Beer,Suntory (Japan),138,,4.60,Imported
Superior Imported Beer,Cerveceria Moctezuma (Mexico),153,,4.30,Imported
Thos Cooper & Sons Adelaide Lager,Cooper & Sons (Australia),128,,4.20,Imported
Thos Cooper & Sons Real Ale,Cooper & Sons (Australia),160,,6.77,Imported
Thos Cooper & Sons Stout,Cooper & Sons (Australia),205,,7.10,Imported
Tolly Origlnal Premium Ale,Tollei-ache & Cobbold (England),146,,4.85,Imported
Tsingtao Beer,Tsingtao (China),153,,4.79,Imported
Watney's Red Barrel Beer,Stag (England),142,,3.92,Imported
Wurzburger Hofbrau,Wurtzburger Hofbrauag (Germany),160,,5.42,Imported
Wurtzburger Hofbrau Light,Wurtzburger Hofbrau Ag (Germany),153,,5.44,Imported
