ModelYear,MANUFACTURER,MODEL,VEHICLE_CLASS,ENGINE_SIZE_L_,CYLINDERS,TRANSMISSION,FUEL,FuelConsCity,FuelConsHwy,CityMPG,HwyMPG,Fuel,CO2
2014,ACURA,ILX,COMPACT,2,4,AS5,Z,8.6,5.6,33,50,1440,166
2014,ACURA,ILX,COMPACT,2.4,4,M6,Z,9.8,6.5,29,43,1660,191
2014,ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Z,5,4.8,56,59,980,113
2014,ACURA,MDX 4WD,SUV - SMALL,3.5,6,AS6,Z,11.2,7.7,25,37,1920,221
2014,ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,10.7,7.3,26,39,1840,212
2014,ACURA,RLX,MID-SIZE,3.5,6,AS6,Z,10.5,6.4,27,44,1720,198
2014,ACURA,TL,MID-SIZE,3.5,6,AS6,Z,10.4,6.8,27,42,1760,202
2014,ACURA,TL AWD,MID-SIZE,3.7,6,AS6,Z,11.4,7.6,25,37,1940,223
2014,ACURA,TL AWD,MID-SIZE,3.7,6,M6,Z,11.9,8,24,35,2040,235
2014,ACURA,TSX,COMPACT,2.4,4,AS5,Z,9.3,6.2,30,46,1580,182
2014,ACURA,TSX,COMPACT,2.4,4,M6,Z,9.9,6.8,29,42,1700,196
2014,ACURA,TSX,COMPACT,3.5,6,AS5,Z,10.7,7,26,40,1800,207
2014,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Z,16.2,10.7,17,26,2740,315
2014,ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,A6,Z,16.2,10.7,17,26,2740,315
2014,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,15.7,9.6,18,29,2580,297
2014,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,16.3,10.4,17,27,2740,315
2014,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,15.7,9.6,18,29,2580,297
2014,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,16.3,10.4,17,27,2740,315
2014,ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,A6,Z,16.2,10.7,17,26,2740,315
2014,AUDI,A4,COMPACT,2,4,AV8,Z,8.6,6.2,33,46,1500,172
2014,AUDI,A4 QUATTRO,COMPACT,2,4,AS8,Z,10.1,6.8,28,42,1720,198
2014,AUDI,A4 QUATTRO,COMPACT,2,4,M6,Z,9.4,6.3,30,45,1600,184
2014,AUDI,A5 CABRIOLET,SUBCOMPACT,2,4,AS8,Z,10.1,6.8,28,42,1720,198
2014,AUDI,A5 QUATTRO,SUBCOMPACT,2,4,AS8,Z,10.1,6.8,28,42,1720,198
2014,AUDI,A5 QUATTRO,SUBCOMPACT,2,4,M6,Z,9.4,6.3,30,45,1600,184
2014,AUDI,A6 QUATTRO,MID-SIZE,2,4,AS8,Z,10.5,6.8,27,42,1780,205
2014,AUDI,A6 QUATTRO,MID-SIZE,3,6,AS8,Z,11.3,7.3,25,39,1900,218
2014,AUDI,A6 QUATTRO T,MID-SIZE,3,6,AS8,D,8.5,5.3,33,53,1420,192
2014,AUDI,A7 QUATTRO,MID-SIZE,3,6,AS8,Z,11.6,7.4,24,38,1940,223
2014,AUDI,A7 QUATTRO T,MID-SIZE,3,6,AS8,D,8.5,5.3,33,53,1420,192
2014,AUDI,A8,MID-SIZE,3,6,AS8,Z,11.6,7.4,24,38,1940,223
2014,AUDI,A8,MID-SIZE,4,8,AS8,Z,12,7.2,24,39,1960,225
2014,AUDI,A8 TDI CLEAN,MID-SIZE,3,6,AS8,D,8.7,5.3,32,53,1440,194
2014,AUDI,A8L,FULL-SIZE,3,6,AS8,Z,11.6,7.4,24,38,1940,223
2014,AUDI,A8L,FULL-SIZE,4,8,AS8,Z,13.2,8.2,21,34,2180,251
2014,AUDI,A8L,FULL-SIZE,6.3,12,AS8,Z,16.4,10.8,17,26,2780,320
2014,AUDI,A8L TDI CLEA,FULL-SIZE,3,6,AS8,D,8.7,5.4,32,52,1440,194
2014,AUDI,ALLROAD QUAT,STATION WAG,2,4,AS8,Z,10.4,7.4,27,38,1800,207
2014,AUDI,Q5,SUV - SMALL,2,4,AS8,Z,10.5,7.2,27,39,1800,207
2014,AUDI,Q5,SUV - SMALL,3,6,AS8,Z,11.4,7.8,25,36,1960,225
2014,AUDI,Q5 HYBRID,SUV - SMALL,2,4,AS8,Z,8.6,6.9,33,41,1560,179
2014,AUDI,Q5 TDI CLEAN,SUV - SMALL,3,6,AS8,D,9,6.4,31,44,1560,211
2014,AUDI,Q7,SUV - STAND,3,6,AS8,Z,13.5,9.2,21,31,2320,267
2014,AUDI,Q7 TDI CLEAN,SUV - STAND,3,6,AS8,D,11.5,7.1,25,40,1900,256
2014,AUDI,R8,TWO-SEATER,4.2,8,A7,Z,15.9,9.3,18,30,2580,297
2014,AUDI,R8,TWO-SEATER,4.2,8,M6,Z,19.1,11.4,15,25,3140,361
2014,AUDI,R8,TWO-SEATER,5.2,10,A7,Z,17,9.6,17,29,2740,315
2014,AUDI,R8,TWO-SEATER,5.2,10,M6,Z,19.1,11.8,15,24,3160,363
2014,AUDI,R8 SPYDER,TWO-SEATER,4.2,8,A7,Z,15.9,9.3,18,30,2580,297
2014,AUDI,R8 SPYDER,TWO-SEATER,4.2,8,M6,Z,19.1,11.4,15,25,3140,361
2014,AUDI,R8 SPYDER,TWO-SEATER,5.2,10,A7,Z,17,9.6,17,29,2740,315
2014,AUDI,R8 SPYDER,TWO-SEATER,5.2,10,M6,Z,19.1,11.8,15,24,3160,363
2014,AUDI,RS5,SUBCOMPACT,4.2,8,A7,Z,13.7,9.2,21,31,2340,269
2014,AUDI,RS5 CABRIOLE,SUBCOMPACT,4.2,8,A7,Z,13.6,9.6,21,29,2360,271
2014,AUDI,RS7,MID-SIZE,4,8,AS8,Z,13.7,7.8,21,36,2220,255
2014,AUDI,S4,COMPACT,3,6,A7,Z,11.7,7.7,24,37,1980,228
2014,AUDI,S4,COMPACT,3,6,M6,Z,13.1,8.3,22,34,2180,251
2014,AUDI,S5,SUBCOMPACT,3,6,A7,Z,11.7,7.7,24,37,1980,228
2014,AUDI,S5,SUBCOMPACT,3,6,M6,Z,13.1,8.3,22,34,2180,251
2014,AUDI,S5 CABRIOLET,SUBCOMPACT,3,6,A7,Z,11.8,8,24,35,2020,232
2014,AUDI,S6,MID-SIZE,4,8,A7,Z,12.7,8.2,22,34,2140,246
2014,AUDI,S7,MID-SIZE,4,8,A7,Z,12.7,8.2,22,34,2140,246
2014,AUDI,S8,MID-SIZE,4,8,AS8,Z,13.8,8.3,20,34,2260,260
2014,AUDI,SQ5,SUV - SMALL,3,6,AS8,Z,13.2,8.5,21,33,2220,255
2014,AUDI,TT COUPE QUA,SUBCOMPACT,2,4,A6,Z,9,6.4,31,44,1580,182
2014,AUDI,TT ROADSTER,TWO-SEATER,2,4,A6,Z,9,6.4,31,44,1580,182
2014,AUDI,TTS COUPE QU,SUBCOMPACT,2,4,A6,Z,10.1,7.4,28,38,1780,205
2014,AUDI,TTS ROADSTER,TWO-SEATER,2,4,A6,Z,10.1,7.4,28,38,1780,205
2014,BENTLEY,CONTINENTAL,SUBCOMPACT,4,8,AS8,Z,13.7,8.3,21,34,2260,260
2014,BENTLEY,CONTINENTAL,SUBCOMPACT,6,12,AS8,Z,17,9.8,17,29,2740,315
2014,BENTLEY,CONTINENTAL,SUBCOMPACT,4,8,AS8,Z,15.1,8.7,19,32,2440,281
2014,BENTLEY,CONTINENTAL,SUBCOMPACT,6,12,AS8,Z,18.1,10.4,16,27,2920,336
2014,BENTLEY,CONTINENTAL,SUBCOMPACT,4,8,AS8,Z,15,9,19,31,2460,283
2014,BENTLEY,CONTINENTAL,SUBCOMPACT,6,12,AS8,Z,18.1,10.4,16,27,2920,336
2014,BENTLEY,FLYING SPUR,MID-SIZE,6,12,AS8,Z,18.1,10.4,16,27,2920,336
2014,BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,20.3,12.7,14,22,3380,389
2014,BMW,320i,COMPACT,2,4,A8,Z,8.7,5.4,32,52,1440,166
2014,BMW,320i,COMPACT,2,4,M6,Z,9.1,5.6,31,50,1500,172
2014,BMW,320i xDRIVE,COMPACT,2,4,A8,Z,8.9,5.8,32,49,1500,172
2014,BMW,328d xDRIVE,COMPACT,2,4,A8,D,6.4,4.5,44,63,1120,151
2014,BMW,328d xDRIVE,STATION WAG,2,4,A8,D,6.4,4.5,44,63,1120,151
2014,BMW,328i,COMPACT,2,4,A8,Z,8.7,5.4,32,52,1440,166
2014,BMW,328i,COMPACT,2,4,M6,Z,9.1,5.6,31,50,1500,172
2014,BMW,328i xDRIVE,COMPACT,2,4,A8,Z,9.3,6,30,47,1560,179
2014,BMW,328i xDRIVE,FULL-SIZE,2,4,A8,Z,9.3,6,30,47,1560,179
2014,BMW,328i xDRIVE,STATION WAG,2,4,A8,Z,9.3,6,30,47,1560,179
2014,BMW,335i,COMPACT,3,6,A8,Z,10,6.1,28,46,1640,189
2014,BMW,335i,COMPACT,3,6,M6,Z,10.4,6.6,27,43,1740,200
2014,BMW,335i xDRIVE,COMPACT,3,6,A8,Z,10.3,6.5,27,43,1720,198
2014,BMW,335i xDRIVE,COMPACT,3,6,M6,Z,10.5,7,27,40,1780,205
2014,BMW,335i xDRIVE,FULL-SIZE,3,6,A8,Z,10.5,6.7,27,42,1760,202
2014,BMW,428i COUPE,COMPACT,2,4,A8,Z,8.7,5.4,32,52,1440,166
2014,BMW,428i COUPE,COMPACT,2,4,M6,Z,9.1,5.6,31,50,1500,172
2014,BMW,428i xDRIVE,COMPACT,2,4,A8,Z,9.3,6,30,47,1560,179
2014,BMW,435i COUPE,COMPACT,3,6,A8,Z,10,6.1,28,46,1640,189
2014,BMW,435i COUPE,COMPACT,3,6,M6,Z,10.4,6.6,27,43,1740,200
2014,BMW,435i xDRIVE,COMPACT,3,6,A8,Z,10.3,6.5,27,43,1720,198
2014,BMW,435i xDRIVE,COMPACT,3,6,M6,Z,10.5,7,27,40,1780,205
2014,BMW,528i,MID-SIZE,2,4,A8,Z,8.9,5.8,32,49,1500,172
2014,BMW,528i xDRIVE,MID-SIZE,2,4,A8,Z,9.3,6,30,47,1560,179
2014,BMW,535d xDRIVE,MID-SIZE,3,6,A8,D,7.9,5.3,36,53,1340,181
2014,BMW,535i xDRIVE,MID-SIZE,3,6,A8,Z,10.5,6.7,27,42,1760,202
2014,BMW,535i xDRIVE,FULL-SIZE,3,6,A8,Z,11,7.2,26,39,1860,214
2014,BMW,550i xDRIVE,MID-SIZE,4.4,8,A8,Z,12.8,8.1,22,35,2140,246
2014,BMW,550i xDRIVE,FULL-SIZE,4.4,8,A8,Z,13.4,8.3,21,34,2220,255
2014,BMW,640i xDRIVE,COMPACT,3,6,A8,Z,10.5,6.7,27,42,1760,202
2014,BMW,650i xDRIVE,SUBCOMPACT,4.4,8,A8,Z,13.4,8.3,21,34,2220,255
2014,BMW,650i xDRIVE,COMPACT,4.4,8,A8,Z,12.8,8.1,22,35,2140,246
2014,BMW,650i xDRIVE,COMPACT,4.4,8,A8,Z,13.4,8.3,21,34,2220,255
2014,BMW,740Li xDRIVE,FULL-SIZE,3,6,A8,Z,11,7.2,26,39,1860,214
2014,BMW,750i xDRIVE,FULL-SIZE,4.4,8,A8,Z,13.4,8.3,21,34,2220,255
2014,BMW,750Li xDRIVE,FULL-SIZE,4.4,8,A8,Z,13.4,8.3,21,34,2220,255
2014,BMW,760Li,FULL-SIZE,6,12,A8,Z,16.9,9.8,17,29,2740,315
2014,BMW,ACTIVEHYBRID,COMPACT,3,6,A8,Z,7.9,5.9,36,48,1400,161
2014,BMW,ACTIVEHYBRID,MID-SIZE,3,6,A8,Z,9.2,6.6,31,43,1600,184
2014,BMW,ACTIVEHYBRID,FULL-SIZE,3,6,A8,Z,9.2,6.4,31,44,1580,182
2014,BMW,ALPINA B7 xD,FULL-SIZE,4.4,8,A8,Z,13.4,8.3,21,34,2220,255
2014,BMW,ALPINA B7 xD,FULL-SIZE,4.4,8,A8,Z,13.4,8.3,21,34,2220,255
2014,BMW,M5,MID-SIZE,4.4,8,AM7,Z,15.6,9.8,18,29,2600,299
2014,BMW,M5,MID-SIZE,4.4,8,M6,Z,14.5,9.2,19,31,2420,278
2014,BMW,M6,COMPACT,4.4,8,AM7,Z,15.6,9.8,18,29,2600,299
2014,BMW,M6,COMPACT,4.4,8,M6,Z,14.5,9.2,19,31,2420,278
2014,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Z,15.6,9.8,18,29,2600,299
2014,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,Z,14.5,9.2,19,31,2420,278
2014,BMW,M6 GRAN COUP,COMPACT,4.4,8,AM7,Z,15.6,9.8,18,29,2600,299
2014,BMW,M6 GRAN COUP,COMPACT,4.4,8,M6,Z,14.5,9.2,19,31,2420,278
2014,BMW,X1 xDRIVE28i,SUV - SMALL,2,4,A8,Z,9.3,6,30,47,1560,179
2014,BMW,X1 xDRIVE35i,SUV - SMALL,3,6,A6,Z,11.7,7.5,24,38,1960,225
2014,BMW,X3 xDRIVE28i,SUV - SMALL,2,4,A8,Z,9.8,7.1,29,40,1720,198
2014,BMW,X3 xDRIVE35i,SUV - SMALL,3,6,A8,Z,11.1,7.7,25,37,1920,221
2014,BMW,X5 xDRIVE35i,SUV - STAND,3,6,A8,Z,11.4,7.4,25,38,1920,221
2014,BMW,X5 xDRIVE50i,SUV - STAND,4.4,8,A8,Z,14.6,9.2,19,31,2440,281
2014,BMW,X6 M,SUV - STAND,4.4,8,A6,Z,16.3,11.7,17,24,2840,327
2014,BMW,X6 xDRIVE35i,SUV - STAND,3,6,A8,Z,12.1,8.3,23,34,2080,239
2014,BMW,X6 xDRIVE50i,SUV - STAND,4.4,8,A8,Z,14.7,9.6,19,29,2480,285
2014,BMW,Z4 sDRIVE28i,TWO-SEATER,2,4,A8,Z,9.4,5.9,30,48,1560,179
2014,BMW,Z4 sDRIVE28i,TWO-SEATER,2,4,M6,Z,9.1,5.6,31,50,1500,172
2014,BMW,Z4 sDRIVE35i,TWO-SEATER,3,6,AM7,Z,12.2,8.5,23,33,2100,242
2014,BMW,Z4 sDRIVE35i,TWO-SEATER,3,6,M6,Z,11.2,7.6,25,37,1920,221
2014,BMW,Z4 sDRIVE35i,TWO-SEATER,3,6,AM7,Z,12.2,8.5,23,33,2100,242
2014,BUICK,ENCLAVE,SUV - STAND,3.6,6,A6,X,12.7,8.4,22,34,2160,248
2014,BUICK,ENCLAVE AWD,SUV - STAND,3.6,6,A6,X,13,8.6,22,33,2200,253
2014,BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,X,8.2,6,34,47,1440,166
2014,BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,X,8.9,6.7,32,42,1580,182
2014,BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,X,12.2,7.3,23,39,2000,230
2014,BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,E,16.6,10.4,17,27,2760,221
2014,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,X,12.2,7.5,23,38,2020,232
2014,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,E,17.5,11.1,16,25,2920,234
2014,BUICK,LACROSSE eAS,MID-SIZE,2.4,4,AS6,X,8.3,5.4,34,52,1400,161
2014,BUICK,REGAL,MID-SIZE,2,4,AS6,Z,10.1,6.6,28,43,1700,196
2014,BUICK,REGAL,MID-SIZE,2,4,M6,Z,10.2,6.3,28,45,1680,193
2014,BUICK,REGAL AWD,MID-SIZE,2,4,AS6,Z,10.9,7.3,26,39,1860,214
2014,BUICK,REGAL eASSIS,MID-SIZE,2.4,4,AS6,X,8.3,5.4,34,52,1400,161
2014,BUICK,VERANO,COMPACT,2,4,AS6,Z,10.1,6.6,28,43,1700,196
2014,BUICK,VERANO,COMPACT,2,4,M6,Z,10.2,6.3,28,45,1680,193
2014,BUICK,VERANO,COMPACT,2.4,4,AS6,X,9.9,6.2,29,46,1660,191
2014,CADILLAC,ATS,COMPACT,2,4,AS6,Z,9.9,6.3,29,45,1660,191
