State,Undergrads,LogUndergrads,Population,UGradPerThou,LogUGradPerThou
New Jersey,326358,12.69575022,8640218,37.77196362,3.631567124
Nevada,100760,11.52049673,2484196,40.56040667,3.702792386
Alaska,27463,10.22059492,676301,40.60765842,3.70395668
Georgia,378947,12.84515163,9318715,40.66515609,3.70537161
Connecticut,142926,11.87008229,3487896,40.97771264,3.713028325
Tennessee,250974,12.43310463,6068306,41.35816487,3.722269859
Florida,775171,13.56083893,18019093,43.0194239,3.761651732
South Carolina,187254,12.14022126,4324799,43.29773476,3.768100319
Maine,58512,10.97698714,1313355,44.55154928,3.796646929
Hawaii,57527,10.96000968,1275264,45.10987529,3.809101187
New Hampshire,59405,10.99213368,1308824,45.38807357,3.815249374
Montana,42990,10.66872281,945428,45.47146901,3.817085074
Maryland,255933,12.45267097,5602258,45.68390103,3.821745961
Louisiana,194567,12.17853186,4243634,45.84914722,3.825356599
Oregon,170742,12.04790892,3680968,46.38508132,3.836977884
Mississippi,134699,11.81079794,2896713,46.5006371,3.839466014
Ohio,533652,13.18749922,11458390,46.57303513,3.841021728
Arkansas,132112,11.79140533,2804199,47.11220566,3.852532111
Pennsylvania,585006,13.27937738,12388055,47.22339383,3.854889402
Texas,1104529,13.91492956,23367534,47.26767489,3.855826656
New York,928563,13.74139351,19367028,47.94555985,3.870066197
Alabama,220520,12.30374367,4587564,48.06908416,3.872639229
West Virginia,87292,11.3770141,1806760,48.31410923,3.877723635
Idaho,70754,11.16696435,1461183,48.42240842,3.87996269
North Carolina,436662,12.98691472,8845343,49.36631626,3.899268335
Washington,314862,12.65988973,6360529,49.50248635,3.902022898
Delaware,42488,10.65697696,850366,49.96436828,3.911310117
Indiana,317963,12.6696903,6294124,50.51743499,3.922318524
Virginia,387593,12.8677111,7628347,50.80956595,3.928084643
Oklahoma,182340,12.11362836,3568132,51.10236953,3.933830867
Massachusetts,335511,12.72341002,6443424,52.07029679,3.952594667
Kentucky,219194,12.29771246,4199440,52.19600709,3.955005999
Missouri,306201,12.63199703,5832977,52.49480668,3.960714244
Colorado,255412,12.45063321,4751474,53.75426657,3.984423042
Illinois,688043,13.44160661,12759673,53.92324709,3.987561685
Wisconsin,300932,12.6146396,5568505,54.04179398,3.98975771
Michigan,545001,13.20854291,10083878,54.04676653,3.989849719
South Dakota,42985,10.6686065,787380,54.59244583,3.999895518
Minnesota,289018,12.57424425,5143134,56.19491928,4.028826349
Vermont,34923,10.46090092,620196,56.30961825,4.03086536
New Mexico,115875,11.6602673,1937916,59.79361335,4.090898855
Nebraska,105611,11.56751781,1759779,60.01378582,4.0945743
California,2172354,14.59132193,36121296,60.14053316,4.096684043
Wyoming,30928,10.3394172,512573,60.33872248,4.099974062
Kansas,168244,12.03317059,2756267,61.04053054,4.111538079
Rhode Island,71175,11.17289691,1058991,67.21020292,4.207825065
North Dakota,44042,10.692899,636453,69.19913961,4.236988429
Utah,183518,12.12006803,2585155,70.98916699,4.262527288
Iowa,212715,12.26770852,2967270,71.68710633,4.272310903
Arizona,476547,13.07432163,6178251,77.13299443,4.345531132
