ID,Group,NonDom,Dom
1,Control,15.7,16.3
2,Control,25.2,26.9
3,Control,17.9,18.7
4,Control,19.1,22.0
5,Control,12.0,14.8
6,Control,20.0,19.8
7,Control,12.3,13.1
8,Control,14.4,17.5
9,Control,15.9,20.1
10,Control,13.7,18.7
11,Control,17.7,18.7
12,Control,15.5,15.2
13,Control,14.4,16.2
14,Control,14.1,15.0
15,Control,12.3,12.9
16,Baseball,17.0,19.3
17,Baseball,16.9,19.0
18,Baseball,17.7,25.2
19,Baseball,21.2,37.7
20,Baseball,21.0,40.3
21,Baseball,14.6,20.8
22,Baseball,31.5,36.9
23,Baseball,14.9,21.2
24,Baseball,15.1,19.4
25,Baseball,13.5,20.4
26,Baseball,13.6,17.1
27,Baseball,20.3,26.5
28,Baseball,17.3,30.3
29,Baseball,14.6,17.4
30,Baseball,22.6,35.0
