Name,ProvinceTerritory,Population,PercentUnder15,PercentOver65,Population_2006,PCTOver65_2006
Alberta,Province,3645257,18.8,11.1,3290350,10.7
British Columbia,Province,4400057,15.4,15.7,4113487,14.6
Manitoba,Province,1208268,19.1,14.3,1148401,14.1
New Brunswick,Province,751171,15.1,16.5,729997,14.7
Newfoundland and Labrador,Province,514536,14.9,16.0,505469,13.9
Northwest Territories,Territory,41462,21.7,5.8,41464,4.8
Nova Scotia,Province,921727,15.0,16.6,913462,15.1
Nunavut,Territory,31906,32.7,3.3,29474,2.7
Ontario,Province,12851821,17.0,14.6,12160282,13.6
Prince Edward Island,Province,140204,16.4,16.3,135851,14.9
Quebec,Province,7903001,15.9,15.9,7546131,14.3
Saskatchewan,Province,1033381,19.1,14.9,968157,15.4
Yukon Territories,Territory,33897,17.3,9.1,30372,7.5
