ID,GenderMale1,WordsPerDay,
1,1,23871,
2,1,5180,
3,1,9951,
4,1,12460,
5,1,17155,
6,1,10344,
7,1,9811,
8,1,12387,
9,1,29920,
10,1,21791,
11,1,9789,
12,1,31127,
13,1,8572,
14,1,6942,
15,1,2539,
16,1,36345,
17,1,6858,
18,1,24024,
19,1,5488,
20,1,9960,
21,1,11118,
22,1,4970,
23,1,10710,
24,1,15011,
25,1,1569,
26,1,23794,
27,1,23689,
28,1,11769,
29,1,26846,
30,1,17386,
31,1,7987,
32,1,25638,
33,1,695,
34,1,2366,
35,1,16075,
36,1,16789,
37,1,9308,
38,2,16109,
39,2,10592,
40,2,24608,
41,2,13739,
42,2,22376,
43,2,9351,
44,2,7694,
45,2,16812,
46,2,21066,
47,2,32291,
48,2,12320,
49,2,19839,
50,2,22018,
51,2,16624,
52,2,5139,
53,2,17384,
54,2,17740,
55,2,7309,
56,2,14699,
57,2,21450,
58,2,14602,
59,2,18360,
60,2,12345,
61,2,17379,
62,2,14394,
63,2,11907,
64,2,8319,
65,2,16046,
66,2,5112,
67,2,8034,
68,2,7845,
69,2,7796,
70,2,20910,
71,2,8756,
72,2,5683,
73,2,8372,
74,2,17191,
75,2,8380,
76,2,16741,
77,2,16417,
78,2,2363,
79,2,24349,
,,,
